Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
3,167,27.7851,F,2,1,local,STIPreEmigrating,0,59,1,0,1,MARITAL,MIGRATING,317,2,2
3,317,35.0894,M,2,1,local,STIPreEmigrating,0,59,1,0,1,MARITAL,MIGRATING,167,2,0
3,317,35.0894,M,1,0,N/A,STIPostImmigrating,0,59,1,0,1,MARITAL,MIGRATING,167,1,0
3,167,27.7851,F,1,0,N/A,STIPostImmigrating,0,59,1,0,1,MARITAL,NORMAL,317,1,1
5,118,43.2655,F,1,2,local,STIPreEmigrating,0,40,2,0,1,MARITAL,MIGRATING,338,1,1
5,338,55.1326,M,1,2,local,STIPreEmigrating,0,40,2,0,1,MARITAL,MIGRATING,118,1,0
5,338,55.1326,M,2,0,N/A,STIPostImmigrating,0,40,2,0,1,MARITAL,MIGRATING,118,2,0
5,118,43.2655,F,2,0,N/A,STIPostImmigrating,0,40,2,0,1,MARITAL,NORMAL,338,2,2
10,102,33.1392,M,1,2,local,STIPreEmigrating,0,32,7,0,1,MARITAL,MIGRATING,264,1,1
10,152,30.5175,F,1,2,local,STIPreEmigrating,0,56,3,0,1,MARITAL,MIGRATING,238,1,1
10,238,42.6898,M,1,2,local,STIPreEmigrating,0,56,3,0,1,MARITAL,MIGRATING,152,1,0
10,264,30.5669,F,1,2,local,STIPreEmigrating,0,32,7,0,1,MARITAL,MIGRATING,102,0,1
10,264,30.5669,F,2,0,N/A,STIPostImmigrating,0,32,7,0,1,MARITAL,MIGRATING,102,0,2
10,238,42.6898,M,2,0,N/A,STIPostImmigrating,0,56,3,0,1,MARITAL,MIGRATING,152,2,0
10,152,30.5175,F,2,0,N/A,STIPostImmigrating,0,56,3,0,1,MARITAL,NORMAL,238,2,2
10,102,33.1392,M,2,0,N/A,STIPostImmigrating,0,32,7,0,1,MARITAL,NORMAL,264,2,2
12,251,39.9193,M,2,1,local,STIPreEmigrating,0,41,4,0,1,MARITAL,MIGRATING,321,2,2
12,321,29.829,F,2,1,local,STIPreEmigrating,0,41,4,0,1,MARITAL,MIGRATING,251,0,2
12,321,29.829,F,1,0,N/A,STIPostImmigrating,0,41,4,0,1,MARITAL,MIGRATING,251,0,1
12,251,39.9193,M,1,0,N/A,STIPostImmigrating,0,41,4,0,1,MARITAL,NORMAL,321,1,1
13,123,46.9715,M,2,1,local,STIPreEmigrating,0,10,8,0,1,MARITAL,MIGRATING,237,2,2
13,237,47.2989,F,2,1,local,STIPreEmigrating,0,10,8,0,1,MARITAL,MIGRATING,123,0,2
13,245,64.8183,M,2,1,local,STIPreEmigrating,0,45,5,0,1,MARITAL,MIGRATING,269,2,2
13,269,60.273,F,2,1,local,STIPreEmigrating,0,45,5,0,1,MARITAL,MIGRATING,245,0,2
13,269,60.273,F,1,0,N/A,STIPostImmigrating,0,45,5,0,1,MARITAL,MIGRATING,245,0,1
13,245,64.8183,M,1,0,N/A,STIPostImmigrating,0,45,5,0,1,MARITAL,NORMAL,269,1,1
13,237,47.2989,F,1,0,N/A,STIPostImmigrating,0,10,8,0,1,MARITAL,MIGRATING,123,0,1
13,123,46.9715,M,1,0,N/A,STIPostImmigrating,0,10,8,0,1,MARITAL,NORMAL,237,1,1
14,205,52.2098,M,2,1,local,STIPreEmigrating,0,14,6,0,1,MARITAL,MIGRATING,281,2,2
14,221,56.3535,M,2,1,local,STIPreEmigrating,0,15,3,0,1,MARITAL,MIGRATING,263,2,2
14,263,42.2872,F,2,1,local,STIPreEmigrating,0,15,3,0,1,MARITAL,MIGRATING,221,0,2
14,281,49.2991,F,2,1,local,STIPreEmigrating,0,14,6,0,1,MARITAL,MIGRATING,205,0,2
14,281,49.2991,F,1,0,N/A,STIPostImmigrating,0,14,6,0,1,MARITAL,MIGRATING,205,0,1
14,263,42.2872,F,1,0,N/A,STIPostImmigrating,0,15,3,0,1,MARITAL,MIGRATING,221,0,1
14,221,56.3535,M,1,0,N/A,STIPostImmigrating,0,15,3,0,1,MARITAL,NORMAL,263,1,1
14,205,52.2098,M,1,0,N/A,STIPostImmigrating,0,14,6,0,1,MARITAL,NORMAL,281,1,1
15,91,52.5999,F,2,1,local,STIPreEmigrating,0,22,5,0,1,MARITAL,MIGRATING,333,2,2
15,333,58.9627,M,2,1,local,STIPreEmigrating,0,22,5,0,1,MARITAL,MIGRATING,91,2,0
15,68,65.2218,M,1,2,local,STIPreEmigrating,0,27,4,0,1,MARITAL,MIGRATING,206,1,1
15,206,49.2474,F,1,2,local,STIPreEmigrating,0,27,4,0,1,MARITAL,MIGRATING,68,0,1
15,206,49.2474,F,2,0,N/A,STIPostImmigrating,0,27,4,0,1,MARITAL,MIGRATING,68,0,2
15,68,65.2218,M,2,0,N/A,STIPostImmigrating,0,27,4,0,1,MARITAL,NORMAL,206,2,2
15,333,58.9627,M,1,0,N/A,STIPostImmigrating,0,22,5,0,1,MARITAL,MIGRATING,91,1,0
15,91,52.5999,F,1,0,N/A,STIPostImmigrating,0,22,5,0,1,MARITAL,NORMAL,333,1,1
17,157,29.1651,F,2,1,local,STIPreEmigrating,0,12,8,0,1,MARITAL,MIGRATING,159,2,2
17,159,37.7883,M,2,1,local,STIPreEmigrating,0,12,8,0,1,MARITAL,MIGRATING,157,2,0
17,159,37.7883,M,1,0,N/A,STIPostImmigrating,0,12,8,0,1,MARITAL,MIGRATING,157,1,0
17,157,29.1651,F,1,0,N/A,STIPostImmigrating,0,12,8,0,1,MARITAL,NORMAL,159,1,1
18,16,30.3308,F,1,2,local,STIPreEmigrating,0,30,7,0,1,MARITAL,MIGRATING,92,1,1
18,205,52.2207,M,1,2,local,STIPreEmigrating,0,14,6,0,1,MARITAL,MIGRATING,281,1,1
18,92,36.1744,M,1,2,local,STIPreEmigrating,0,30,7,0,1,MARITAL,MIGRATING,16,1,0
18,281,49.3101,F,1,2,local,STIPreEmigrating,0,14,6,0,1,MARITAL,MIGRATING,205,0,1
18,281,49.3101,F,2,0,N/A,STIPostImmigrating,0,14,6,0,1,MARITAL,MIGRATING,205,0,2
18,92,36.1744,M,2,0,N/A,STIPostImmigrating,0,30,7,0,1,MARITAL,MIGRATING,16,2,0
18,205,52.2207,M,2,0,N/A,STIPostImmigrating,0,14,6,0,1,MARITAL,NORMAL,281,2,2
18,16,30.3308,F,2,0,N/A,STIPostImmigrating,0,30,7,0,1,MARITAL,NORMAL,92,2,2
20,81,40.4434,F,2,1,local,STIPreEmigrating,0,8,4,0,1,MARITAL,MIGRATING,103,2,2
20,103,42.413,M,2,1,local,STIPreEmigrating,0,8,4,0,1,MARITAL,MIGRATING,81,2,0
20,184,53.3484,F,1,2,local,STIPreEmigrating,0,36,13,0,1,MARITAL,MIGRATING,250,1,1
20,250,58.4626,M,1,2,local,STIPreEmigrating,0,36,13,0,1,MARITAL,MIGRATING,184,1,0
20,250,58.4626,M,2,0,N/A,STIPostImmigrating,0,36,13,0,1,MARITAL,MIGRATING,184,2,0
20,184,53.3484,F,2,0,N/A,STIPostImmigrating,0,36,13,0,1,MARITAL,NORMAL,250,2,2
20,103,42.413,M,1,0,N/A,STIPostImmigrating,0,8,4,0,1,MARITAL,MIGRATING,81,1,0
20,81,40.4434,F,1,0,N/A,STIPostImmigrating,0,8,4,0,1,MARITAL,NORMAL,103,1,1
21,12,64.6811,M,1,2,local,STIPreEmigrating,0,48,10,0,1,MARITAL,MIGRATING,90,1,1
21,90,45.3866,F,1,2,local,STIPreEmigrating,0,48,10,0,1,MARITAL,MIGRATING,12,0,1
21,90,45.3866,F,2,0,N/A,STIPostImmigrating,0,48,10,0,1,MARITAL,MIGRATING,12,0,2
21,12,64.6811,M,2,0,N/A,STIPostImmigrating,0,48,10,0,1,MARITAL,NORMAL,90,2,2
22,83,35.0525,F,2,1,local,STIPreEmigrating,0,13,14,0,1,MARITAL,MIGRATING,203,2,2
22,203,40.6161,M,2,1,local,STIPreEmigrating,0,13,14,0,1,MARITAL,MIGRATING,83,2,0
22,203,40.6161,M,1,0,N/A,STIPostImmigrating,0,13,14,0,1,MARITAL,MIGRATING,83,1,0
22,83,35.0525,F,1,0,N/A,STIPostImmigrating,0,13,14,0,1,MARITAL,NORMAL,203,1,1
23,4,44.5963,M,1,2,local,STIPreEmigrating,0,23,8,0,1,MARITAL,MIGRATING,82,1,1
23,346,32.3651,F,1,2,local,STIPreEmigrating,0,38,7,0,1,MARITAL,MIGRATING,280,1,1
23,82,41.422,F,1,2,local,STIPreEmigrating,0,23,8,0,1,MARITAL,MIGRATING,4,0,1
23,144,21.4115,F,1,2,local,STIPreEmigrating,0,62,12,0,1,MARITAL,MIGRATING,194,1,1
23,194,22.1195,M,1,2,local,STIPreEmigrating,0,62,12,0,1,MARITAL,MIGRATING,144,1,0
23,280,33.7454,M,1,2,local,STIPreEmigrating,0,38,7,0,1,MARITAL,MIGRATING,346,1,0
23,280,33.7454,M,2,0,N/A,STIPostImmigrating,0,38,7,0,1,MARITAL,MIGRATING,346,2,0
23,194,22.1195,M,2,0,N/A,STIPostImmigrating,0,62,12,0,1,MARITAL,MIGRATING,144,2,0
