Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
7,55,24.3743,M,2,4,local,STIPreEmigrating,0,1,5,0,0,INFORMAL,PAUSED,23,2,2
7,10,25.0758,M,1,4,local,STIPreEmigrating,0,2,2,0,0,INFORMAL,PAUSED,46,1,1
7,10,25.0758,M,4,0,N/A,STIPostImmigrating,0,2,2,0,1,INFORMAL,PAUSED,46,4,1
7,55,24.3743,M,4,0,N/A,STIPostImmigrating,0,1,5,0,1,INFORMAL,PAUSED,23,4,2
10,21,26.4976,F,4,3,local,STIPreEmigrating,0,4,3,0,0,INFORMAL,PAUSED,29,4,4
10,21,26.4976,F,3,0,N/A,STIPostImmigrating,0,4,3,0,1,INFORMAL,PAUSED,29,4,3
16,55,24.3989,M,4,2,local,STIPreEmigrating,0,1,5,0,1,INFORMAL,PAUSED,23,4,0
16,55,24.3989,M,2,0,N/A,STIPostImmigrating,0,1,5,0,0,INFORMAL,NORMAL,23,2,2
27,68,33.1858,M,3,1,local,STIPreEmigrating,0,6,8,0,0,INFORMAL,PAUSED,30,3,3
27,68,33.1858,M,1,0,N/A,STIPostImmigrating,0,6,8,0,1,INFORMAL,PAUSED,30,1,3
29,21,26.5497,F,3,4,local,STIPreEmigrating,0,4,3,0,1,INFORMAL,PAUSED,29,0,3
29,55,24.4345,M,2,4,local,STIPreEmigrating,0,1,17,0,0,INFORMAL,PAUSED,23,2,2
29,55,24.4345,M,4,0,N/A,STIPostImmigrating,0,1,17,0,1,INFORMAL,PAUSED,23,4,2
29,21,26.5497,F,4,0,N/A,STIPostImmigrating,0,4,3,0,0,INFORMAL,NORMAL,29,4,4
33,53,23.0125,F,4,1,local,STIPreEmigrating,0,3,12,0,0,INFORMAL,PAUSED,49,4,4
33,68,33.2022,M,1,3,local,STIPreEmigrating,0,6,8,0,1,INFORMAL,PAUSED,30,1,0
33,68,33.2022,M,3,0,N/A,STIPostImmigrating,0,6,8,0,0,INFORMAL,NORMAL,30,3,3
33,53,23.0125,F,1,0,N/A,STIPostImmigrating,0,3,12,0,1,INFORMAL,PAUSED,49,4,1
47,40,45.5137,M,3,4,local,STIPreEmigrating,0,10,3,0,0,INFORMAL,PAUSED,28,3,3
47,40,45.5137,M,4,0,N/A,STIPostImmigrating,0,10,3,0,1,INFORMAL,PAUSED,28,4,3
49,41,17.2441,M,4,3,local,STIPreEmigrating,0,8,9,0,0,INFORMAL,PAUSED,20,4,4
49,41,17.2441,M,3,0,N/A,STIPostImmigrating,0,8,9,0,1,INFORMAL,PAUSED,20,3,4
58,30,30.4403,F,3,1,local,STIPreEmigrating,0,6,15,0,0,INFORMAL,PAUSED,68,3,3
