Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
2,177,51.6601,M,1,0,N/A,STIPostImmigrating,0,26,1,0,1,MARITAL,MIGRATING,331,1,0
2,331,40.3653,F,1,0,N/A,STIPostImmigrating,0,26,1,0,1,MARITAL,NORMAL,177,1,1
2,177,51.6601,M,2,1,local,STIPreEmigrating,0,26,1,0,1,MARITAL,MIGRATING,331,2,2
2,331,40.3653,F,2,1,local,STIPreEmigrating,0,26,1,0,1,MARITAL,MIGRATING,177,0,2
4,99,39.9554,F,1,0,N/A,STIPostImmigrating,0,46,1,0,1,MARITAL,MIGRATING,279,0,1
4,155,60.6054,F,1,0,N/A,STIPostImmigrating,0,30,3,0,1,MARITAL,MIGRATING,267,0,1
4,267,66.868,M,1,0,N/A,STIPostImmigrating,0,30,3,0,1,MARITAL,NORMAL,155,1,1
4,279,59.7177,M,1,0,N/A,STIPostImmigrating,0,46,1,0,1,MARITAL,NORMAL,99,1,1
4,99,39.9554,F,2,1,local,STIPreEmigrating,0,46,1,0,1,MARITAL,MIGRATING,279,2,2
4,155,60.6054,F,2,1,local,STIPreEmigrating,0,30,3,0,1,MARITAL,MIGRATING,267,2,2
4,267,66.868,M,2,1,local,STIPreEmigrating,0,30,3,0,1,MARITAL,MIGRATING,155,2,0
4,279,59.7177,M,2,1,local,STIPreEmigrating,0,46,1,0,1,MARITAL,MIGRATING,99,2,0
5,152,30.5038,F,1,2,local,STIPreEmigrating,0,37,2,0,1,MARITAL,MIGRATING,304,1,1
5,304,41.3199,M,1,2,local,STIPreEmigrating,0,37,2,0,1,MARITAL,MIGRATING,152,1,0
5,152,30.5038,F,2,0,N/A,STIPostImmigrating,0,37,2,0,1,MARITAL,MIGRATING,304,0,2
5,304,41.3199,M,2,0,N/A,STIPostImmigrating,0,37,2,0,1,MARITAL,NORMAL,152,2,2
6,190,26.7722,F,1,2,local,STIPreEmigrating,0,57,2,0,1,MARITAL,MIGRATING,252,1,1
6,252,20.1553,M,1,2,local,STIPreEmigrating,0,57,2,0,1,MARITAL,MIGRATING,190,1,0
6,190,26.7722,F,2,0,N/A,STIPostImmigrating,0,57,2,0,1,MARITAL,MIGRATING,252,0,2
6,252,20.1553,M,2,0,N/A,STIPostImmigrating,0,57,2,0,1,MARITAL,NORMAL,190,2,2
7,188,33.0185,F,1,2,local,STIPreEmigrating,0,29,2,0,1,MARITAL,MIGRATING,254,1,1
7,254,48.1766,M,1,2,local,STIPreEmigrating,0,29,2,0,1,MARITAL,MIGRATING,188,1,0
7,89,47.8194,M,1,0,N/A,STIPostImmigrating,0,14,2,0,1,MARITAL,MIGRATING,295,1,0
7,295,47.0635,F,1,0,N/A,STIPostImmigrating,0,14,2,0,1,MARITAL,NORMAL,89,1,1
7,89,47.8194,M,2,1,local,STIPreEmigrating,0,14,2,0,1,MARITAL,MIGRATING,295,2,2
7,295,47.0635,F,2,1,local,STIPreEmigrating,0,14,2,0,1,MARITAL,MIGRATING,89,0,2
7,188,33.0185,F,2,0,N/A,STIPostImmigrating,0,29,2,0,1,MARITAL,MIGRATING,254,0,2
7,254,48.1766,M,2,0,N/A,STIPostImmigrating,0,29,2,0,1,MARITAL,NORMAL,188,2,2
8,62,24.377,M,1,2,local,STIPreEmigrating,0,9,2,0,1,MARITAL,MIGRATING,308,1,1
8,308,17.8836,F,1,2,local,STIPreEmigrating,0,9,2,0,1,MARITAL,MIGRATING,62,0,1
8,62,24.377,M,2,0,N/A,STIPostImmigrating,0,9,2,0,1,MARITAL,MIGRATING,308,2,0
8,308,17.8836,F,2,0,N/A,STIPostImmigrating,0,9,2,0,1,MARITAL,NORMAL,62,2,2
12,33,18.7176,F,1,0,N/A,STIPostImmigrating,0,44,3,0,1,MARITAL,MIGRATING,125,0,1
12,125,23.7514,M,1,0,N/A,STIPostImmigrating,0,44,3,0,1,MARITAL,NORMAL,33,1,1
12,33,18.7176,F,2,1,local,STIPreEmigrating,0,44,3,0,1,MARITAL,MIGRATING,125,2,2
12,125,23.7514,M,2,1,local,STIPreEmigrating,0,44,3,0,1,MARITAL,MIGRATING,33,2,0
14,46,24.453,F,1,2,local,STIPreEmigrating,0,67,4,0,1,MARITAL,MIGRATING,238,1,1
14,238,42.7008,M,1,2,local,STIPreEmigrating,0,67,4,0,1,MARITAL,MIGRATING,46,1,0
14,268,40.5665,M,1,2,local,STIPreEmigrating,0,31,7,0,1,MARITAL,MIGRATING,300,1,1
14,300,36.0517,F,1,2,local,STIPreEmigrating,0,31,7,0,1,MARITAL,MIGRATING,268,0,1
14,46,24.453,F,2,0,N/A,STIPostImmigrating,0,67,4,0,1,MARITAL,MIGRATING,238,0,2
14,238,42.7008,M,2,0,N/A,STIPostImmigrating,0,67,4,0,1,MARITAL,NORMAL,46,2,2
14,268,40.5665,M,2,0,N/A,STIPostImmigrating,0,31,7,0,1,MARITAL,MIGRATING,300,2,0
14,300,36.0517,F,2,0,N/A,STIPostImmigrating,0,31,7,0,1,MARITAL,NORMAL,268,2,2
16,300,36.0572,F,1,0,N/A,STIPostImmigrating,0,31,7,0,1,MARITAL,MIGRATING,268,0,1
16,268,40.5719,M,1,0,N/A,STIPostImmigrating,0,31,7,0,1,MARITAL,NORMAL,300,1,1
16,300,36.0572,F,2,1,local,STIPreEmigrating,0,31,7,0,1,MARITAL,MIGRATING,268,2,2
16,268,40.5719,M,2,1,local,STIPreEmigrating,0,31,7,0,1,MARITAL,MIGRATING,300,2,0
19,17,31.7444,M,1,0,N/A,STIPostImmigrating,0,2,5,0,1,MARITAL,MIGRATING,123,1,0
19,123,28.79,F,1,0,N/A,STIPostImmigrating,0,2,5,0,1,MARITAL,NORMAL,17,1,1
19,17,31.7444,M,2,1,local,STIPreEmigrating,0,2,5,0,1,MARITAL,MIGRATING,123,2,2
19,123,28.79,F,2,1,local,STIPreEmigrating,0,2,5,0,1,MARITAL,MIGRATING,17,0,2
