Time, IndividualID, AgeYears, Gender, From_NodeID, To_NodeID, MigrationType, Event,IsInfected, Rel_ID, NumCoitalActs, IsDiscordant, HasMigrated, RelationshipType, RelationshipState, PartnerID, Male_NodeID, Female_NodeID
1,321,22.3343,F,4,3,local,STIPreEmigrating,0,2,1,0,0,INFORMAL,PAUSED,309,4,4
1,321,22.3343,F,3,0,N/A,STIPostImmigrating,0,2,1,0,1,INFORMAL,PAUSED,309,4,3
2,219,29.9927,M,2,1,local,STIPreEmigrating,0,12,1,0,0,INFORMAL,PAUSED,71,2,2
2,219,29.9927,M,1,0,N/A,STIPostImmigrating,0,12,1,0,1,INFORMAL,PAUSED,71,1,2
4,345,19.4546,M,4,3,local,STIPreEmigrating,0,23,1,0,0,TRANSITORY,PAUSED,221,4,4
4,104,30.8698,M,3,4,local,STIPreEmigrating,0,11,2,0,0,TRANSITORY,PAUSED,44,3,3
4,31,22.3874,F,2,4,local,STIPreEmigrating,0,20,1,0,0,TRANSITORY,PAUSED,195,2,2
4,31,22.3874,F,4,0,N/A,STIPostImmigrating,0,20,1,0,1,TRANSITORY,PAUSED,195,2,4
4,104,30.8698,M,4,0,N/A,STIPostImmigrating,0,11,2,0,1,TRANSITORY,PAUSED,44,4,3
4,345,19.4546,M,3,0,N/A,STIPostImmigrating,0,23,1,0,1,TRANSITORY,PAUSED,221,3,4
5,133,25.7374,M,4,3,local,STIPreEmigrating,0,26,1,0,0,TRANSITORY,PAUSED,89,4,4
5,140,24.2522,M,3,2,local,STIPreEmigrating,0,5,2,0,0,INFORMAL,PAUSED,340,3,3
5,140,24.2522,M,2,0,N/A,STIPostImmigrating,0,5,2,0,1,INFORMAL,PAUSED,340,2,3
5,133,25.7374,M,3,0,N/A,STIPostImmigrating,0,26,1,0,1,TRANSITORY,PAUSED,89,3,4
6,208,19.975,F,3,1,local,STIPreEmigrating,0,4,2,0,0,TRANSITORY,PAUSED,204,3,3
6,208,19.975,F,1,0,N/A,STIPostImmigrating,0,4,2,0,1,TRANSITORY,PAUSED,204,3,1
7,103,45.0638,M,2,4,local,STIPreEmigrating,0,13,3,0,0,MARITAL,PAUSED,291,2,2
7,103,45.0638,M,4,0,N/A,STIPostImmigrating,0,13,3,0,1,MARITAL,PAUSED,291,4,2
8,49,53.3675,M,4,3,local,STIPreEmigrating,0,24,2,0,0,MARITAL,PAUSED,101,4,4
8,61,25.736,F,4,1,local,STIPreEmigrating,0,22,2,0,0,TRANSITORY,PAUSED,237,4,4
8,44,22.8591,F,3,2,local,STIPreEmigrating,0,11,2,0,0,TRANSITORY,PAUSED,104,0,3
8,111,18.9678,F,2,1,local,STIPreEmigrating,0,19,4,0,0,TRANSITORY,PAUSED,275,2,2
8,111,18.9678,F,1,0,N/A,STIPostImmigrating,0,19,4,0,1,TRANSITORY,PAUSED,275,2,1
8,44,22.8591,F,2,0,N/A,STIPostImmigrating,0,11,2,0,1,TRANSITORY,PAUSED,104,0,2
8,61,25.736,F,1,0,N/A,STIPostImmigrating,0,22,2,0,1,TRANSITORY,PAUSED,237,4,1
8,49,53.3675,M,3,0,N/A,STIPostImmigrating,0,24,2,0,1,MARITAL,PAUSED,101,3,4
9,289,23.2302,M,4,1,local,STIPreEmigrating,0,15,3,0,0,INFORMAL,PAUSED,189,4,4
9,31,22.3874,F,4,2,local,STIPreEmigrating,0,20,1,0,1,TRANSITORY,PAUSED,195,0,4
9,31,22.3874,F,2,0,N/A,STIPostImmigrating,0,20,1,0,0,TRANSITORY,NORMAL,195,2,2
9,289,23.2302,M,1,0,N/A,STIPostImmigrating,0,15,3,0,1,INFORMAL,PAUSED,189,1,4
11,197,31.6912,F,4,1,local,STIPreEmigrating,0,18,2,0,0,MARITAL,PAUSED,113,4,4
11,197,31.6912,F,1,0,N/A,STIPostImmigrating,0,18,2,0,1,MARITAL,PAUSED,113,4,1
12,89,14.8802,F,4,3,local,STIPreEmigrating,0,26,1,0,0,TRANSITORY,PAUSED,133,0,4
12,89,14.8802,F,3,0,N/A,STIPostImmigrating,0,26,1,0,1,TRANSITORY,NORMAL,133,3,3
13,309,21.9288,M,4,1,local,STIPreEmigrating,0,2,1,0,0,INFORMAL,PAUSED,321,4,0
13,309,21.9288,M,1,0,N/A,STIPostImmigrating,0,2,1,0,1,INFORMAL,PAUSED,321,1,0
14,10,25.0539,M,1,4,local,STIPreEmigrating,0,9,6,0,0,TRANSITORY,PAUSED,298,1,1
14,10,25.0539,M,4,0,N/A,STIPostImmigrating,0,9,6,0,1,TRANSITORY,PAUSED,298,4,1
15,9,22.281,F,4,1,local,STIPreEmigrating,0,1,4,0,0,INFORMAL,PAUSED,161,4,4
15,119,20.2232,F,2,4,local,STIPreEmigrating,0,6,2,0,0,TRANSITORY,PAUSED,311,2,2
15,309,21.9288,M,1,4,local,STIPreEmigrating,0,2,1,0,1,INFORMAL,PAUSED,321,1,0
15,309,21.9288,M,4,0,N/A,STIPostImmigrating,0,2,1,0,1,INFORMAL,PAUSED,321,4,0
15,119,20.2232,F,4,0,N/A,STIPostImmigrating,0,6,2,0,1,TRANSITORY,PAUSED,311,2,4
15,9,22.281,F,1,0,N/A,STIPostImmigrating,0,1,4,0,1,INFORMAL,PAUSED,161,4,1
16,118,31.2524,F,1,4,local,STIPreEmigrating,0,14,7,0,0,TRANSITORY,PAUSED,202,1,1
16,142,32.9938,F,1,2,local,STIPreEmigrating,0,46,2,0,0,MARITAL,PAUSED,206,1,1
16,142,32.9938,F,2,0,N/A,STIPostImmigrating,0,46,2,0,1,MARITAL,PAUSED,206,1,2
16,118,31.2524,F,4,0,N/A,STIPostImmigrating,0,14,7,0,1,TRANSITORY,PAUSED,202,1,4
17,138,19.0094,M,1,2,local,STIPreEmigrating,0,10,9,0,0,TRANSITORY,PAUSED,306,1,1
17,138,19.0094,M,2,0,N/A,STIPostImmigrating,0,10,9,0,1,TRANSITORY,PAUSED,306,2,1
18,73,27.2207,F,4,2,local,STIPreEmigrating,0,16,8,0,0,MARITAL,PAUSED,305,4,4
18,168,22.3368,F,3,1,local,STIPreEmigrating,0,38,2,0,0,TRANSITORY,PAUSED,272,3,3
18,204,19.0278,M,3,1,local,STIPreEmigrating,0,4,2,0,0,TRANSITORY,PAUSED,208,3,0
18,133,25.7374,M,3,4,local,STIPreEmigrating,0,26,1,0,1,TRANSITORY,PAUSED,89,3,3
18,122,31.9723,F,1,2,local,STIPreEmigrating,0,44,1,0,0,TRANSITORY,PAUSED,270,1,1
18,213,47.2605,F,1,4,local,STIPreEmigrating,0,47,2,0,0,MARITAL,PAUSED,301,1,1
18,213,47.2605,F,4,0,N/A,STIPostImmigrating,0,47,2,0,1,MARITAL,PAUSED,301,1,4
18,122,31.9723,F,2,0,N/A,STIPostImmigrating,0,44,1,0,1,TRANSITORY,PAUSED,270,1,2
18,133,25.7374,M,4,0,N/A,STIPostImmigrating,0,26,1,0,1,TRANSITORY,PAUSED,89,4,3
18,204,19.0278,M,1,0,N/A,STIPostImmigrating,0,4,2,0,1,TRANSITORY,NORMAL,208,1,1
18,168,22.3368,F,1,0,N/A,STIPostImmigrating,0,38,2,0,1,TRANSITORY,PAUSED,272,3,1
18,73,27.2207,F,2,0,N/A,STIPostImmigrating,0,16,8,0,1,MARITAL,PAUSED,305,4,2
19,97,19.7556,F,4,3,local,STIPreEmigrating,0,43,1,0,0,INFORMAL,PAUSED,316,4,4
