Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),male_ID,female_ID,male_age,female_age,Termination_Reason
18,1,0,22.3403,30.4167,0,796,546,53.6273,19.775,BROKEUP
28,1,0,27.9519,30.4167,0,1145,829,34.5372,29.7358,BROKEUP
31,1,0,14.0145,30.4167,0,1286,845,42.3462,49.6279,BROKEUP
32,1,0,14.6476,30.4167,0,1315,859,17.4638,41.6067,BROKEUP
68,1,0,14.6952,30.4167,0,2519,2010,31.5451,35.5912,BROKEUP
95,1,0,18.3165,30.4167,0,3252,2874,16.2565,34.6812,BROKEUP
105,1,0,5.35485,30.4167,0,3671,3136,22.1342,43.4501,BROKEUP
128,1,0,27.2413,30.4167,0,4650,3580,17.4091,20.2635,BROKEUP
133,1,0,2.9707,30.4167,0,4898,3757,21.0657,54.8554,BROKEUP
144,1,0,14.6359,30.4167,0,5291,3992,43.8005,27.1371,BROKEUP
148,1,0,21.7903,30.4167,0,5449,4189,31.9738,49.7193,BROKEUP
170,1,0,14.6881,30.4167,0,5909,4951,43.2812,20.7269,BROKEUP
189,1,0,24.7464,30.4167,0,6521,5631,24.8532,44.8825,BROKEUP
207,1,0,4.77488,30.4167,0,7122,6334,25.1287,30.4473,BROKEUP
224,1,0,15.0701,30.4167,0,7763,7069,36.1728,18.7116,BROKEUP
225,1,0,25.2237,30.4167,0,7763,7081,36.1728,29.848,BROKEUP
233,1,0,19.6603,30.4167,0,8147,7465,34.8892,43.8161,BROKEUP
238,1,0,5.78235,30.4167,0,8281,7631,52.8551,18.0834,BROKEUP
247,1,0,19.0822,30.4167,0,8509,8061,52.5317,20.162,BROKEUP
145,1,0,501.398,30.4167,0,5300,4110,55.002,47.0107,SELF_DIED
776,1,30.4167,462.391,30.4167,1,6433,7599,55.0814,28.4554,SELF_DIED
16,1,0,38.4385,60.8333,0,751,521,19.132,38.1559,BROKEUP
27,1,0,35.0023,60.8333,0,1111,808,46.3158,17.376,BROKEUP
55,1,0,42.6774,60.8333,0,2029,1480,23.0113,41.4601,BROKEUP
57,1,0,32.8623,60.8333,0,2114,1581,26.0152,38.9477,BROKEUP
59,1,0,33.8213,60.8333,0,2192,1631,53.2925,47.0865,BROKEUP
76,1,0,49.0214,60.8333,0,2734,2258,48.2243,46.8126,BROKEUP
78,1,0,42.7663,60.8333,0,2779,2330,41.0884,38.7895,BROKEUP
134,1,0,60.8023,60.8333,0,4913,3772,39.331,28.3739,BROKEUP
157,1,0,31.9568,60.8333,0,5641,4406,38.3839,44.9197,BROKEUP
187,1,0,36.8865,60.8333,0,6455,5497,53.5114,37.8223,BROKEUP
188,1,0,31.0448,60.8333,0,6512,5536,48.7998,48.0217,BROKEUP
231,1,0,56.2956,60.8333,0,8090,7401,41.0101,52.9079,BROKEUP
244,1,0,30.4999,60.8333,0,8406,8015,43.072,54.6736,BROKEUP
249,1,0,35.2934,60.8333,0,8604,8123,41.1989,39.1269,BROKEUP
250,1,0,34.0625,60.8333,0,8724,8137,33.4423,24.9971,BROKEUP
283,1,0,58.3877,60.8333,0,9685,9407,34.0424,18.2831,BROKEUP
450,1,30.4167,52.293,60.8333,0,887,517,23.2743,33.2466,BROKEUP
487,1,30.4167,44.3657,60.8333,0,2463,2137,36.4394,43.0237,BROKEUP
564,1,30.4167,38.6717,60.8333,0,4796,5630,41.7316,24.9528,BROKEUP
573,1,30.4167,53.0055,60.8333,0,5250,5901,44.76,25.8042,BROKEUP
601,1,30.4167,35.6857,60.8333,0,6257,7074,29.0366,43.2381,BROKEUP
609,1,30.4167,54.168,60.8333,0,6488,7347,39.0883,38.1983,BROKEUP
625,1,30.4167,59.9743,60.8333,0,6929,8032,27.648,22.0646,BROKEUP
645,1,30.4167,41.3089,60.8333,0,7930,8690,31.0573,53.8429,BROKEUP
661,1,30.4167,43.037,60.8333,0,8461,9223,53.7102,22.8294,BROKEUP
665,1,30.4167,56.544,60.8333,0,8561,9375,38.4843,19.1239,BROKEUP
