Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,178.814,0,1,1,25,0,0,22.5185,1,1,0,0,0,1,1,0,0,0,0,24,0,1,22.0132,1,1,0,0,0,1,1,3,0,0,0
2,0,207.568,0,1,1,67,0,0,23.7227,1,1,0,0,0,1,1,0,0,0,0,146,0,1,21.7382,1,1,0,0,0,1,1,0,0,0,0
3,0,589.181,0,1,1,103,0,0,23.6146,1,1,0,0,0,1,1,0,0,0,0,167,0,1,31.3277,1,1,0,0,0,1,1,1,0,0,0
4,0,232.344,0,1,1,114,0,0,50.9972,1,1,0,0,0,1,1,4,0,0,0,179,0,1,46.8979,1,1,0,0,0,1,1,3,0,0,0
5,0,433.117,0,1,1,131,0,0,51.2989,1,1,0,0,0,1,1,0,0,0,0,235,0,1,27.6782,1,1,0,0,0,1,1,3,0,0,0
6,0,159.478,0,1,1,176,0,0,36.5682,1,1,0,0,0,1,1,0,0,0,0,244,0,1,37.5493,1,1,0,0,0,1,1,0,0,0,0
7,0,170.526,0,1,1,197,0,0,20.7204,1,1,0,0,0,1,1,0,0,0,0,252,0,1,53.9784,1,1,0,0,0,1,1,1,0,0,0
8,0,266.949,0,1,1,204,0,0,50.0067,1,1,0,0,0,1,1,0,0,0,0,275,0,1,18.9821,1,1,0,0,0,1,1,3,0,0,0
9,0,106.515,0,1,1,205,0,0,36.9571,1,1,0,0,0,1,1,0,0,0,0,313,0,1,36.6456,1,1,0,0,0,1,1,1,0,0,0
10,0,331.267,0,1,1,314,0,0,54.7455,1,1,0,0,0,1,1,0,0,0,0,332,0,1,27.763,1,1,0,0,0,1,1,0,0,0,0
11,0,119.716,0,1,1,418,0,0,21.7945,1,1,0,0,0,1,1,0,0,0,0,373,0,1,25.0044,1,1,0,0,0,1,1,1,0,0,0
12,0,114.128,0,1,1,420,0,0,31.5776,1,1,0,0,0,1,1,0,0,0,0,377,0,1,27.3506,1,1,0,0,0,1,1,1,0,0,0
13,0,655.045,0,1,1,574,0,0,45.6647,1,1,0,0,0,1,1,2,0,0,0,405,0,1,18.8812,1,1,0,0,0,1,1,1,0,0,0
14,0,648.052,0,1,1,609,0,0,40.327,1,1,0,0,0,1,1,1,0,0,0,406,0,1,48.7924,1,1,0,0,0,1,1,1,0,0,0
15,0,64.714,0,1,1,695,0,0,24.5083,1,1,0,0,0,1,1,0,0,0,0,428,0,1,31.833,1,1,0,0,0,1,1,1,0,0,0
16,0,38.4385,0,1,1,751,0,0,18.9653,1,1,0,0,0,1,1,6,0,0,0,521,0,1,37.9893,1,1,0,0,0,1,1,0,0,0,0
17,0,742.335,0,1,1,777,0,0,32.9318,1,1,0,0,0,1,1,0,0,0,0,545,0,1,16.5279,1,1,0,0,0,1,1,3,0,0,0
18,0,22.3403,0,1,1,796,0,0,53.5439,1,1,0,0,0,1,1,0,0,0,0,546,0,1,19.6917,1,1,0,0,0,1,1,1,0,0,0
19,0,456.664,0,1,1,799,0,0,52.5643,1,1,0,0,0,1,1,0,0,0,0,554,0,1,24.6402,1,1,0,0,0,1,1,2,0,0,0
20,0,363.022,0,1,1,840,0,0,46.6267,1,1,0,0,0,1,1,3,0,0,0,599,0,1,26.4266,1,1,0,0,0,1,1,0,0,0,0
21,0,510.347,0,1,1,855,0,0,26.358,1,1,0,0,0,1,1,0,0,0,0,616,0,1,21.8135,1,1,0,0,0,1,1,3,0,0,0
22,0,168.834,0,1,1,998,0,0,28.0795,1,1,0,0,0,1,1,3,0,0,0,693,0,1,26.1953,1,1,0,0,0,1,1,7,0,0,0
23,0,140.209,0,1,1,1007,0,0,18.4114,1,1,0,0,0,1,1,0,0,0,0,717,0,1,23.6339,1,1,0,0,0,1,1,1,0,0,0
24,0,454.846,0,1,1,1009,0,0,48.2954,1,1,0,0,0,1,1,1,0,0,0,725,0,1,23.4621,1,1,0,0,0,1,1,4,0,0,0
25,0,807.115,0,1,1,1019,0,0,52.9823,1,1,0,0,0,1,1,0,0,0,0,737,0,1,46.8938,1,1,0,0,0,1,1,3,0,0,0
26,0,128.792,0,1,1,1080,0,0,48.5253,1,1,0,0,0,1,1,0,0,0,0,801,0,1,36.7875,1,1,0,0,0,1,1,0,0,0,0
27,0,35.0023,0,1,1,1111,0,0,46.1492,1,1,0,0,0,1,1,0,0,0,0,808,0,1,17.2093,1,1,0,0,0,1,1,3,0,0,0
28,0,27.9519,0,1,1,1145,0,0,34.4539,1,1,0,0,0,1,1,2,0,0,0,829,0,1,29.6525,1,1,0,0,0,1,1,3,0,0,0
29,0,871.174,0,1,1,1177,0,0,32.5354,1,1,0,0,0,1,1,0,0,0,0,831,0,1,19.1332,1,1,0,0,0,1,1,3,0,0,0
30,0,680.478,0,1,1,1234,0,0,17.7399,1,1,0,0,0,1,1,0,0,0,0,836,0,1,26.9667,1,1,0,0,0,1,1,1,0,0,0
31,0,14.0145,0,1,1,1286,0,0,42.2629,1,1,0,0,0,1,1,0,0,0,0,845,0,1,49.5445,1,1,0,0,0,1,1,7,0,0,0
32,0,14.6476,0,1,1,1315,0,0,17.3805,1,1,0,0,0,1,1,1,0,0,0,859,0,1,41.5233,1,1,0,0,0,1,1,3,0,0,0
33,0,874.032,0,1,1,1335,0,0,47.4581,1,1,0,0,0,1,1,2,0,0,0,866,0,1,33.5313,1,1,0,0,0,1,1,7,0,0,0
34,0,84.3438,0,1,1,1395,0,0,49.1112,1,1,0,0,0,1,1,1,0,0,0,870,0,1,37.683,1,1,0,0,0,1,1,3,0,0,0
35,0,344.53,0,1,1,1486,0,0,25.3558,1,1,0,0,0,1,1,1,0,0,0,882,0,1,42.7505,1,1,0,0,0,1,1,0,0,0,0
36,0,117.707,0,1,1,1510,0,0,46.0251,1,1,0,0,0,1,1,0,0,0,0,891,0,1,44.5887,1,1,0,0,0,1,1,0,0,0,0
37,0,610.195,0,1,1,1526,0,0,48.1779,1,1,0,0,0,1,1,3,0,0,0,900,0,1,14.4816,1,1,0,0,0,1,1,1,0,0,0
38,0,99.4287,0,1,1,1557,0,0,48.6278,1,1,0,0,0,1,1,0,0,0,0,933,0,1,29.3324,1,1,0,0,0,1,1,5,0,0,0
39,0,196.696,0,1,1,1585,0,0,38.005,1,1,0,0,0,1,1,3,0,0,0,953,0,1,43.9439,1,1,0,0,0,1,1,1,0,0,0
40,0,268.793,0,1,1,1613,0,0,40.5299,1,1,0,0,0,1,1,0,0,0,0,997,0,1,34.9524,1,1,0,0,0,1,1,1,0,0,0
41,0,151.371,0,1,1,1636,0,0,31.1118,1,1,0,0,0,1,1,0,0,0,0,997,0,1,34.9524,2,2,0,0,0,2,2,1,0,0,0
42,0,264.232,0,1,1,1654,0,0,17.6683,1,1,0,0,0,1,1,0,0,0,0,1003,0,1,54.0134,1,1,0,0,0,1,1,1,0,0,0
43,0,341.728,0,1,1,1700,0,0,19.4071,1,1,0,0,0,1,1,0,0,0,0,1053,0,1,30.9221,1,1,0,0,0,1,1,3,0,0,0
44,0,363.621,0,1,1,1729,0,0,42.4085,1,1,0,0,0,1,1,0,0,0,0,1055,0,1,47.813,1,1,0,0,0,1,1,4,0,0,0
45,0,246.254,0,1,1,1752,0,0,26.7316,1,1,0,0,0,1,1,1,0,0,0,1086,0,1,51.3311,1,1,0,0,0,1,1,1,0,0,0
46,0,280.453,0,1,1,1842,0,0,29.7538,1,1,0,0,0,1,1,1,0,0,0,1086,0,1,51.3311,2,2,0,0,0,2,2,1,0,0,0
47,0,168.014,0,1,1,1857,0,0,50.9785,1,1,0,0,0,1,1,0,0,0,0,1143,0,1,41.933,1,1,0,0,0,1,1,3,0,0,0
48,0,384.52,0,1,1,1902,0,0,33.6755,1,1,0,0,0,1,1,0,0,0,0,1185,0,1,53.0406,1,1,0,0,0,1,1,0,0,0,0
