Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,248.527,0,1,1,37,0,0,42.631,1,1,0,0,0,1,1,0,0,0,0,9,0,1,23.32,1,1,0,0,0,1,1,1,0,0,0
2,0,278.273,0,1,1,40,0,0,46.9712,1,1,0,0,0,1,1,0,0,0,0,23,0,1,37.3233,1,1,0,0,0,1,1,0,0,0,0
3,0,33.7661,0,1,1,43,0,0,19.2774,1,1,0,0,0,1,1,0,0,0,0,33,0,1,25.5193,1,1,0,0,0,1,1,3,0,0,0
4,0,18.1454,0,1,1,47,0,0,24.6132,1,1,0,0,0,1,1,0,0,0,0,58,0,1,41.2182,1,1,0,0,0,1,1,3,0,0,0
5,0,133.177,0,1,1,81,0,0,39.6747,1,1,0,0,0,1,1,0,0,0,0,83,0,1,54.4734,1,1,0,0,0,1,1,1,0,0,0
6,0,148.007,0,1,1,124,0,0,23.6146,1,1,0,0,0,1,1,0,0,0,0,83,0,1,54.4734,2,2,0,0,0,2,2,1,0,0,0
7,0,427.6,0,1,1,125,0,0,38.6677,1,1,0,0,0,1,1,0,0,0,0,136,0,1,34.0577,1,1,0,0,0,1,1,0,0,0,0
8,0,357.889,0,1,1,163,0,0,21.7227,1,1,0,0,0,1,1,0,0,0,0,241,0,1,16.832,1,1,0,0,0,1,1,0,0,0,0
9,0,205.736,0,1,1,166,0,0,45.7208,1,1,0,0,0,1,1,0,0,0,0,295,0,1,17.8898,1,1,0,0,0,1,1,7,0,0,0
10,0,301.165,0,1,1,204,0,0,32.9703,1,1,0,0,0,1,1,0,0,0,0,305,0,1,23.7836,1,1,0,0,0,1,1,3,0,0,0
11,0,3.58001,0,1,1,217,0,0,40.2489,1,1,0,0,0,1,1,0,0,0,0,357,0,1,50.2169,1,1,0,0,0,1,1,0,0,0,0
12,0,227.904,0,1,1,232,0,0,28.9967,1,1,0,0,0,1,1,3,0,0,0,367,0,1,49.8646,1,1,0,0,0,1,1,7,0,0,0
13,0,580.815,0,1,1,356,0,0,48.258,1,1,0,0,0,1,1,0,0,0,0,376,0,1,16.3253,1,1,0,0,0,1,1,3,0,0,0
14,0,32.8837,0,1,1,364,0,0,25.5473,1,1,0,0,0,1,1,0,0,0,0,391,0,1,37.3178,1,1,0,0,0,1,1,7,0,0,0
15,0,1005.07,0,1,1,405,0,0,34.6386,1,1,0,0,0,1,1,0,0,0,0,400,0,1,22.3521,1,1,0,0,0,1,1,0,0,0,0
16,0,344.536,0,1,1,423,0,0,20.5316,1,1,0,0,0,1,1,0,0,0,0,467,0,1,37.4236,1,1,0,0,0,1,1,0,0,0,0
17,0,779.056,0,1,1,494,0,0,47.2991,1,1,0,0,0,1,1,0,0,0,0,491,0,1,17.5802,1,1,0,0,0,1,1,3,0,0,0
18,0,152.717,0,1,1,523,0,0,30.8051,1,1,0,0,0,1,1,0,0,0,0,556,0,1,35.64,1,1,0,0,0,1,1,7,0,0,0
19,0,205.032,0,1,1,543,0,0,19.4196,1,1,0,0,0,1,1,0,0,0,0,596,0,1,31.4986,1,1,0,0,0,1,1,0,0,0,0
20,0,220.802,0,1,1,618,0,0,42.1111,1,1,0,0,0,1,1,3,0,0,0,613,0,1,53.6355,1,1,0,0,0,1,1,0,0,0,0
21,0,705.4,0,1,1,633,0,0,19.2811,1,1,0,0,0,1,1,0,0,0,0,616,0,1,22.0256,1,1,0,0,0,1,1,0,0,0,0
22,0,214.482,0,1,1,646,0,0,47.4025,1,1,0,0,0,1,1,7,0,0,0,640,0,1,54.4292,1,1,0,0,0,1,1,7,0,0,0
23,0,69.9114,0,1,1,682,0,0,20.0872,1,1,0,0,0,1,1,0,0,0,0,665,0,1,19.4585,1,1,0,0,0,1,1,3,0,0,0
24,0,44.4151,0,1,1,686,0,0,26.8914,1,1,0,0,0,1,1,0,0,0,0,676,0,1,54.9644,1,1,0,0,0,1,1,3,0,0,0
25,0,1043.68,0,1,1,688,0,0,22.796,1,1,0,0,0,1,1,0,0,0,0,722,0,1,46.5907,1,1,0,0,0,1,1,7,0,0,0
26,0,183.482,0,1,1,743,0,0,50.7469,1,1,0,0,0,1,1,0,0,0,0,725,0,1,50.0012,1,1,0,0,0,1,1,1,0,0,0
27,0,105.313,0,1,1,744,0,0,31.6149,1,1,0,0,0,1,1,0,0,0,0,787,0,1,36.1358,1,1,0,0,0,1,1,0,0,0,0
28,0,143.424,0,1,1,751,0,0,44.7843,1,1,0,0,0,1,1,0,0,0,0,794,0,1,46.1563,1,1,0,0,0,1,1,1,0,0,0
29,0,790.072,0,1,1,873,0,0,44.2672,1,1,0,0,0,1,1,0,0,0,0,817,0,1,29.1888,1,1,0,0,0,1,1,1,0,0,0
30,0,6.26865,0,1,1,898,0,0,42.6499,1,1,0,0,0,1,1,0,0,0,0,817,0,1,29.1888,2,2,0,0,0,2,2,1,0,0,0
31,0,16.4298,0,1,1,915,0,0,20.9996,1,1,0,0,0,1,1,0,0,0,0,926,0,1,29.03,1,1,0,0,0,1,1,3,0,0,0
32,0,363.123,0,1,1,929,0,0,46.0056,1,1,0,0,0,1,1,7,0,0,0,978,0,1,37.1005,1,1,0,0,0,1,1,1,0,0,0
33,0,104.613,0,1,1,988,0,0,25.78,1,1,0,0,0,1,1,0,0,0,0,1007,0,1,19.1435,1,1,0,0,0,1,1,3,0,0,0
34,0,368.698,0,1,1,1031,0,0,29.2124,1,1,0,0,0,1,1,0,0,0,0,1056,0,1,16.8203,1,1,0,0,0,1,1,7,0,0,0
35,0,473.981,0,1,1,1055,0,0,18.3007,1,1,0,0,0,1,1,0,0,0,0,1068,0,1,23.279,1,1,0,0,0,1,1,3,0,0,0
36,0,175.587,0,1,1,1080,0,0,36.7402,1,1,0,0,0,1,1,0,0,0,0,1068,0,1,23.279,2,2,0,0,0,2,2,3,0,0,0
37,0,724.359,0,1,1,1127,0,0,27.8467,1,1,0,0,0,1,1,0,0,0,0,1101,0,1,49.2641,1,1,0,0,0,1,1,1,0,0,0
38,0,288.335,0,1,1,1136,0,0,21.0461,1,1,0,0,0,1,1,0,0,0,0,1107,0,1,53.3232,1,1,0,0,0,1,1,3,0,0,0
39,0,342.239,0,1,1,1142,0,0,34.8738,1,1,0,0,0,1,1,0,0,0,0,1109,0,1,51.5625,1,1,0,0,0,1,1,1,0,0,0
40,0,349.962,0,1,1,1163,0,0,48.6396,1,1,0,0,0,1,1,0,0,0,0,1201,0,1,50.7452,1,1,0,0,0,1,1,1,0,0,0
41,0,114.234,0,1,1,1185,0,0,17.8622,1,1,0,0,0,1,1,0,0,0,0,1237,0,1,44.0434,1,1,0,0,0,1,1,1,0,0,0
42,0,41.1705,0,1,1,1195,0,0,51.1378,1,1,0,0,0,1,1,0,0,0,0,1278,0,1,19.1124,1,1,0,0,0,1,1,1,0,0,0
43,0,0.325034,0,1,1,1289,0,0,26.0679,1,1,0,0,0,1,1,0,0,0,0,1440,0,1,39.8387,1,1,0,0,0,1,1,1,0,0,0
44,0,633.121,0,1,1,1292,0,0,29.4871,1,1,0,0,0,1,1,0,0,0,0,1441,0,1,52.2417,1,1,0,0,0,1,1,1,0,0,0
45,0,250.834,0,1,1,1396,0,0,33.3431,1,1,0,0,0,1,1,3,0,0,0,1491,0,1,47.7242,1,1,0,0,0,1,1,1,0,0,0
46,0,1066.97,0,1,1,1403,0,0,32.0884,1,1,0,0,0,1,1,0,0,0,0,1537,0,1,45.9431,1,1,0,0,0,1,1,1,0,0,0
47,0,384.701,0,1,1,1415,0,0,44.5682,1,1,0,0,0,1,1,3,0,0,0,1559,0,1,48.6198,1,1,0,0,0,1,1,3,0,0,0
48,0,228.866,0,1,1,1419,0,0,28.5171,1,1,0,0,0,1,1,3,0,0,0,1622,0,1,27.7957,1,1,0,0,0,1,1,1,0,0,0
49,0,33.7711,0,1,1,1470,0,0,43.1774,1,1,0,0,0,1,1,0,0,0,0,1668,0,1,39.02,1,1,0,0,0,1,1,1,0,0,0
50,0,2.69707,0,1,1,1561,0,0,47.4619,1,1,0,0,0,1,1,0,0,0,0,1680,0,1,23.5739,1,1,0,0,0,1,1,1,0,0,0
51,0,226.991,0,1,1,1577,0,0,38.7624,1,1,0,0,0,1,1,7,0,0,0,1694,0,1,17.2781,1,1,0,0,0,1,1,3,0,0,0
52,0,584.693,0,1,1,1686,0,0,34.1592,1,1,0,0,0,1,1,0,0,0,0,1831,0,1,29.1684,1,1,0,0,0,1,1,0,0,0,0
53,0,475.819,0,1,1,1688,0,0,37.5202,1,1,0,0,0,1,1,0,0,0,0,1860,0,1,23.724,1,1,0,0,0,1,1,1,0,0,0
54,0,71.2896,0,1,1,1699,0,0,19.3015,1,1,0,0,0,1,1,0,0,0,0,1969,0,1,28.1309,1,1,0,0,0,1,1,1,0,0,0
55,0,51.5279,0,1,1,1714,0,0,23.3569,1,1,0,0,0,1,1,3,0,0,0,1981,0,1,47.6717,1,1,0,0,0,1,1,0,0,0,0
56,0,22.1681,0,1,1,1751,0,0,29.5799,1,1,0,0,0,1,1,0,0,0,0,1993,0,1,28.6311,1,1,0,0,0,1,1,3,0,0,0
57,0,11.4681,0,1,1,1761,0,0,24.2806,1,1,0,0,0,1,1,3,0,0,0,2000,0,1,32.3777,1,1,0,0,0,1,1,3,0,0,0
58,0,1033.43,0,1,1,1764,0,0,34.9171,1,1,0,0,0,1,1,0,0,0,0,2016,0,1,45.141,1,1,0,0,0,1,1,1,0,0,0
59,0,162.81,0,1,1,1786,0,0,47.4227,1,1,0,0,0,1,1,0,0,0,0,2038,0,1,54.3973,1,1,0,0,0,1,1,1,0,0,0
60,0,91.2731,0,1,1,1792,0,0,38.0823,1,1,0,0,0,1,1,0,0,0,0,2063,0,1,39.5899,1,1,0,0,0,1,1,3,0,0,0
61,0,338.074,0,1,1,1808,0,0,24.4607,1,1,0,0,0,1,1,0,0,0,0,2069,0,1,19.6547,1,1,0,0,0,1,1,3,0,0,0
62,0,242.786,0,1,1,1827,0,0,33.4228,1,1,0,0,0,1,1,0,0,0,0,2084,0,1,18.1011,1,1,0,0,0,1,1,0,0,0,0
63,0,0.845826,0,1,1,1966,0,0,34.5025,1,1,0,0,0,1,1,0,0,0,0,2098,0,1,47.935,1,1,0,0,0,1,1,0,0,0,0
64,0,159.604,0,1,1,1989,0,0,25.9223,1,1,0,0,0,1,1,0,0,0,0,2126,0,1,18.2003,1,1,0,0,0,1,1,1,0,0,0
65,0,462.976,0,1,1,2042,0,0,33.7396,1,1,0,0,0,1,1,0,0,0,0,2126,0,1,18.2003,2,2,0,0,0,2,2,1,0,0,0
66,0,306.215,0,1,1,2060,0,0,45.6281,1,1,0,0,0,1,1,7,0,0,0,2198,0,1,25.6642,1,1,0,0,0,1,1,1,0,0,0
67,0,376.084,0,1,1,2078,0,0,19.6432,1,1,0,0,0,1,1,0,0,0,0,2198,0,1,25.6642,2,2,0,0,0,2,2,1,0,0,0
68,0,254.54,0,1,1,2095,0,0,34.6759,1,1,0,0,0,1,1,0,0,0,0,2263,0,1,54.5955,1,1,0,0,0,1,1,7,0,0,0
69,0,75.9317,0,1,1,2176,0,0,39.073,1,1,0,0,0,1,1,0,0,0,0,2270,0,1,22.1484,1,1,0,0,0,1,1,3,0,0,0
70,0,316.923,0,1,1,2180,0,0,40.3331,1,1,0,0,0,1,1,7,0,0,0,2306,0,1,41.0194,1,1,0,0,0,1,1,0,0,0,0
71,0,328.906,0,1,1,2204,0,0,43.3723,1,1,0,0,0,1,1,0,0,0,0,2311,0,1,50.0674,1,1,0,0,0,1,1,1,0,0,0
72,0,582.179,0,1,1,2338,0,0,33.6755,1,1,0,0,0,1,1,0,0,0,0,2363,0,1,51.7949,1,1,0,0,0,1,1,1,0,0,0
73,0,293.208,0,1,1,2351,0,0,31.6569,1,1,0,0,0,1,1,0,0,0,0,2377,0,1,30.2886,1,1,0,0,0,1,1,7,0,0,0
74,0,330.26,0,1,1,2379,0,0,43.6062,1,1,0,0,0,1,1,0,0,0,0,2465,0,1,35.0322,1,1,0,0,0,1,1,1,0,0,0
75,0,780.955,0,1,1,2416,0,0,49.4043,1,1,0,0,0,1,1,0,0,0,0,2502,0,1,24.784,1,1,0,0,0,1,1,7,0,0,0
76,0,354.49,0,1,1,2529,0,0,28.8556,1,1,0,0,0,1,1,0,0,0,0,2534,0,1,37.7225,1,1,0,0,0,1,1,3,0,0,0
77,0,428.335,0,1,1,2565,0,0,27.9949,1,1,0,0,0,1,1,3,0,0,0,2534,0,1,37.7225,2,2,0,0,0,2,2,3,0,0,0
78,0,153.192,0,1,1,2629,0,0,45.4059,1,1,0,0,0,1,1,0,0,0,0,2538,0,1,47.8027,1,1,0,0,0,1,1,3,0,0,0
79,0,802.143,0,1,1,2632,0,0,46.4564,1,1,0,0,0,1,1,0,0,0,0,2720,0,1,21.4721,1,1,0,0,0,1,1,0,0,0,0
80,0,322.486,0,1,1,2644,0,0,31.7443,1,1,0,0,0,1,1,3,0,0,0,2729,0,1,29.8841,1,1,0,0,0,1,1,7,0,0,0
81,0,783.89,0,1,1,2657,0,0,19.4391,1,1,0,0,0,1,1,0,0,0,0,2785,0,1,20.1534,1,1,0,0,0,1,1,1,0,0,0
82,0,137.541,0,1,1,2668,0,0,26.7929,1,1,0,0,0,1,1,0,0,0,0,2805,0,1,38.6203,1,1,0,0,0,1,1,1,0,0,0
83,0,883.289,0,1,1,2699,0,0,32.8531,1,1,0,0,0,1,1,0,0,0,0,2807,0,1,54.8836,1,1,0,0,0,1,1,7,0,0,0
84,0,394.594,0,1,1,2728,0,0,47.8215,1,1,0,0,0,1,1,0,0,0,0,2855,0,1,28.312,1,1,0,0,0,1,1,1,0,0,0
85,0,454.827,0,1,1,2813,0,0,50.3006,1,1,0,0,0,1,1,0,0,0,0,2864,0,1,32.1149,1,1,0,0,0,1,1,3,0,0,0
86,0,332.624,0,1,1,2860,0,0,48.6164,1,1,0,0,0,1,1,0,0,0,0,2951,0,1,14.4256,1,1,0,0,0,1,1,3,0,0,0
87,0,406.622,0,1,1,2866,0,0,28.8881,1,1,0,0,0,1,1,0,0,0,0,2951,0,1,14.4256,2,2,0,0,0,2,2,3,0,0,0
88,0,1026.22,0,1,1,2907,0,0,19.0214,1,1,0,0,0,1,1,0,0,0,0,3010,0,1,36.8675,1,1,0,0,0,1,1,3,0,0,0
89,0,415.343,0,1,1,2911,0,0,50.415,1,1,0,0,0,1,1,0,0,0,0,3076,0,1,40.2137,1,1,0,0,0,1,1,1,0,0,0
90,0,358.458,0,1,1,2948,0,0,25.1448,1,1,0,0,0,1,1,3,0,0,0,3084,0,1,26.1009,1,1,0,0,0,1,1,3,0,0,0
91,0,778.85,0,1,1,3022,0,0,18.7365,1,1,0,0,0,1,1,0,0,0,0,3085,0,1,20.3764,1,1,0,0,0,1,1,3,0,0,0
92,0,1294.02,0,1,1,3105,0,0,41.6483,1,1,0,0,0,1,1,3,0,0,0,3086,0,1,23.8587,1,1,0,0,0,1,1,1,0,0,0
93,0,807.292,0,1,1,3118,0,0,20.1821,1,1,0,0,0,1,1,0,0,0,0,3099,0,1,33.5162,1,1,0,0,0,1,1,1,0,0,0
94,0,384.859,0,1,1,3128,0,0,42.7178,1,1,0,0,0,1,1,0,0,0,0,3132,0,1,42.052,1,1,0,0,0,1,1,1,0,0,0
95,0,335.061,0,1,1,3256,0,0,20.2721,1,1,0,0,0,1,1,0,0,0,0,3139,0,1,52.7416,1,1,0,0,0,1,1,1,0,0,0
96,0,137.777,0,1,1,3282,0,0,54.4555,1,1,0,0,0,1,1,7,0,0,0,3141,0,1,18.0536,1,1,0,0,0,1,1,1,0,0,0
97,0,718.051,0,1,1,3308,0,0,44.5674,1,1,0,0,0,1,1,0,0,0,0,3141,0,1,18.0536,2,2,0,0,0,2,2,1,0,0,0
98,0,142.33,0,1,1,3393,0,0,27.1292,1,1,0,0,0,1,1,0,0,0,0,3161,0,1,33.1514,1,1,0,0,0,1,1,3,0,0,0
99,0,119.323,0,1,1,3397,0,0,50.8884,1,1,0,0,0,1,1,7,0,0,0,3226,0,1,40.885,1,1,0,0,0,1,1,3,0,0,0
100,0,268.136,0,1,1,3423,0,0,30.6112,1,1,0,0,0,1,1,0,0,0,0,3239,0,1,53.4364,1,1,0,0,0,1,1,0,0,0,0
101,0,129.977,0,1,1,3449,0,0,45.3772,1,1,0,0,0,1,1,0,0,0,0,3254,0,1,35.6506,1,1,0,0,0,1,1,3,0,0,0
102,0,321.412,0,1,1,3456,0,0,38.6892,1,1,0,0,0,1,1,7,0,0,0,3266,0,1,24.2569,1,1,0,0,0,1,1,3,0,0,0
103,0,760.717,0,1,1,3458,0,0,27.4349,1,1,0,0,0,1,1,7,0,0,0,3273,0,1,52.3225,1,1,0,0,0,1,1,0,0,0,0
104,0,59.228,0,1,1,3482,0,0,45.3148,1,1,0,0,0,1,1,7,0,0,0,3280,0,1,24.8859,1,1,0,0,0,1,1,7,0,0,0
