Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),male_ID,female_ID,male_age,female_age,Termination_Reason
281,1,0,654.045,0,1,823,533,38.8398,55.0119,SELF_DIED
16,1,0,398.008,0,0,633,676,19.3644,55.0478,SELF_DIED
109,1,0,348.794,0,0,4239,3391,50.825,55.0573,SELF_DIED
4,1,0,20.7884,30.4167,0,72,59,21.906,36.673,BROKEUP
37,1,0,18.8023,30.4167,0,1577,1210,38.8457,41.7509,BROKEUP
48,1,0,10.8468,30.4167,0,1989,1438,26.0057,40.3401,BROKEUP
51,1,0,20.3449,30.4167,0,2237,1560,51.9495,46.6445,BROKEUP
54,1,0,0.655775,30.4167,0,2287,1631,35.6901,49.7626,BROKEUP
66,1,0,14.4742,30.4167,0,2716,1969,37.1508,28.2142,BROKEUP
79,1,0,21.5539,30.4167,0,3351,2534,47.4369,37.8058,BROKEUP
101,1,0,27.4535,30.4167,0,3836,3132,23.7845,42.1353,BROKEUP
138,1,0,25.129,30.4167,0,5533,4209,36.3242,49.2721,BROKEUP
159,1,0,9.52806,30.4167,0,6062,4823,45.6212,20.4267,BROKEUP
167,1,0,1.63096,30.4167,0,6319,5074,47.3058,19.6648,BROKEUP
184,1,0,15.776,30.4167,0,6898,5809,28.5936,17.1013,BROKEUP
188,1,0,20.7422,30.4167,0,6954,5914,43.693,41.4244,BROKEUP
211,1,0,2.43402,30.4167,0,7773,6603,21.8825,20.4881,BROKEUP
260,1,0,22.957,30.4167,0,9593,8349,43.6368,44.5908,BROKEUP
268,1,0,4.06353,30.4167,0,9762,8620,32.41,32.9005,BROKEUP
345,1,0,533.363,30.4167,1,4493,4867,55.0032,35.4033,SELF_DIED
356,1,0,215.625,30.4167,1,4825,5562,55.0174,40.2945,SELF_DIED
174,1,0,163.008,30.4167,0,6512,5278,55.002,28.7072,SELF_DIED
376,1,0,397.614,30.4167,1,6512,7518,55.002,29.8069,SELF_DIED
8,1,0,40.8862,60.8333,0,364,305,25.714,23.9503,BROKEUP
11,1,0,54.6704,60.8333,0,498,429,42.8054,27.7465,BROKEUP
18,1,0,45.4617,60.8333,0,653,714,46.7128,21.3794,BROKEUP
21,1,0,39.2276,60.8333,0,719,771,44.2445,54.5979,BROKEUP
25,1,0,34.7167,60.8333,0,919,804,38.5782,18.2325,BROKEUP
95,1,0,37.1945,60.8333,0,3783,2989,37.7162,22.724,BROKEUP
116,1,0,59.7968,60.8333,0,4702,3615,20.8187,50.4889,BROKEUP
118,1,0,50.5404,60.8333,0,4758,3695,20.2754,36.0537,BROKEUP
123,1,0,33.1145,60.8333,0,4926,3799,37.4747,38.6884,BROKEUP
