Rel_ID,Rel_start_time,Rel_scheduled_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),Original_node_ID,Current_node_ID,A_ID,A_is_infected,A_gender,A_age,A_total_num_active_rels,A_num_active_TRANSITORY_rels,A_num_active_INFORMAL_rels,A_num_active_MARITAL_rels,A_num_active_COMMERCIAL_rels,A_num_lifetime_rels,A_num_rels_last_6_mo,A_extra_relational_bitmask,A_is_circumcised,A_has_STI_coinfection,A_is_superspreader,B_ID,B_is_infected,B_gender,B_age,B_total_num_active_rels,B_num_active_TRANSITORY_rels,B_num_active_INFORMAL_rels,B_num_active_MARITAL_rels,B_num_active_COMMERCIAL_rels,B_num_lifetime_rels,B_num_rels_last_6_mo,B_extra_relational_bitmask,B_is_circumcised,B_has_STI_coinfection,B_is_superspreader
1,0,576.489,0,1,1,256,0,0,26.4791,1,1,0,0,0,1,1,0,0,0,0,1313,0,1,23.9599,1,1,0,0,0,1,1,4,0,0,0
2,0,674.106,0,1,1,299,0,0,21.9762,1,1,0,0,0,1,1,1,0,0,0,7760,0,1,18.648,1,1,0,0,0,1,1,1,0,0,0
3,0,422.6,0,1,1,375,0,0,22.1806,1,1,0,0,0,1,1,2,0,0,0,4140,0,1,17.1029,1,1,0,0,0,1,1,0,0,0,0
4,0,252.761,0,1,1,706,0,0,33.476,1,1,0,0,0,1,1,0,0,0,0,6069,0,1,32.3948,1,1,0,0,0,1,1,0,0,0,0
5,0,14.4225,0,1,1,750,0,0,22.6697,1,1,0,0,0,1,1,1,0,0,0,6100,0,1,17.2733,1,1,0,0,0,1,1,3,0,0,0
6,0,253.007,0,1,1,892,0,0,29.0598,1,1,0,0,0,1,1,1,0,0,0,5588,0,1,24.4657,1,1,0,0,0,1,1,3,0,0,0
7,0,140.171,0,1,1,940,0,0,16.9341,1,1,0,0,0,1,1,2,0,0,0,6647,0,1,19.5881,1,1,0,0,0,1,1,1,0,0,0
8,0,88.4635,0,1,1,977,0,0,21.3211,1,1,0,0,0,1,1,7,0,0,0,8629,0,1,18.9842,1,1,0,0,0,1,1,0,0,0,0
9,0,625.424,0,1,1,1070,0,0,22.8152,1,1,0,0,0,1,1,5,0,0,0,6970,0,1,17.803,1,1,0,0,0,1,1,1,0,0,0
10,0,590.58,0,1,1,1224,0,0,18.8378,1,1,0,0,0,1,1,1,0,0,0,6638,0,1,15.678,1,1,0,0,0,1,1,0,0,0,0
11,0,309.658,0,1,1,1237,0,0,41.6118,1,1,0,0,0,1,1,0,0,0,0,1009,0,1,25.1641,1,1,0,0,0,1,1,3,0,0,0
12,0,396.924,0,1,1,1819,0,0,18.4874,1,1,0,0,0,1,1,1,0,0,0,249,0,1,17.4837,1,1,0,0,0,1,1,7,0,0,0
13,0,101.032,0,1,1,1868,0,0,16.1615,1,1,0,0,0,1,1,0,0,0,0,2221,0,1,21.7535,1,1,0,0,0,1,1,0,0,0,0
14,0,481.36,0,1,1,1898,0,0,20.5318,1,1,0,0,0,1,1,3,0,0,0,8650,0,1,17.5233,1,1,0,0,0,1,1,0,0,0,0
15,0,18.0759,0,1,1,1898,0,0,20.5318,2,2,0,0,0,2,2,3,0,0,0,5841,0,1,16.0661,1,1,0,0,0,1,1,1,0,0,0
16,0,270.264,0,1,1,1933,0,0,31.5622,1,1,0,0,0,1,1,3,0,0,0,2168,0,1,20.7444,1,1,0,0,0,1,1,1,0,0,0
17,0,279.783,0,1,1,2041,0,0,30.9238,1,1,0,0,0,1,1,0,0,0,0,5084,0,1,27.3641,1,1,0,0,0,1,1,3,0,0,0
18,0,628.307,0,1,1,2310,0,0,24.0381,1,1,0,0,0,1,1,0,0,0,0,4974,0,1,21.3979,1,1,0,0,0,1,1,3,0,0,0
19,0,350.849,0,1,1,2497,0,0,18.922,1,1,0,0,0,1,1,1,0,0,0,3511,0,1,16.8653,1,1,0,0,0,1,1,0,0,0,0
20,0,452.393,0,1,1,2623,0,0,30.1114,1,1,0,0,0,1,1,5,0,0,0,2561,0,1,22.7923,1,1,0,0,0,1,1,3,0,0,0
21,0,219.631,0,1,1,2883,0,0,21.4567,1,1,0,0,0,1,1,0,0,0,0,1778,0,1,17.1417,1,1,0,0,0,1,1,2,0,0,0
22,0,259.591,0,1,1,2907,0,0,23.9124,1,1,0,0,0,1,1,0,0,0,0,8659,0,1,19.5488,1,1,0,0,0,1,1,3,0,0,0
23,0,492.04,0,1,1,2979,0,0,32.8938,1,1,0,0,0,1,1,1,0,0,0,3998,0,1,26.3328,1,1,0,0,0,1,1,1,0,0,0
24,0,134.011,0,1,1,3344,0,0,39.1371,1,1,0,0,0,1,1,1,0,0,0,7228,0,1,32.1503,1,1,0,0,0,1,1,0,0,0,0
25,0,204.547,0,1,1,3477,0,0,36.0387,1,1,0,0,0,1,1,4,0,0,0,8181,0,1,15.2533,1,1,0,0,0,1,1,1,0,0,0
26,0,306.829,0,1,1,3485,0,0,29.3081,1,1,0,0,0,1,1,0,0,0,0,2618,0,1,30.0489,1,1,0,0,0,1,1,1,0,0,0
27,0,622.114,0,1,1,3675,0,0,22.2576,1,1,0,0,0,1,1,7,0,0,0,266,0,1,20.4096,1,1,0,0,0,1,1,0,0,0,0
28,0,438.798,0,1,1,4193,0,0,46.3254,1,1,0,0,0,1,1,1,0,0,0,2755,0,1,47.8442,1,1,0,0,0,1,1,0,0,0,0
29,0,942.693,0,1,1,4690,0,0,31.4722,1,1,0,0,0,1,1,2,0,0,0,3444,0,1,24.264,1,1,0,0,0,1,1,1,0,0,0
30,0,569.94,0,1,1,4710,0,0,26.405,1,1,0,0,0,1,1,0,0,0,0,4102,0,1,28.6092,1,1,0,0,0,1,1,0,0,0,0
31,0,260.813,0,1,1,5145,0,0,18.8967,1,1,0,0,0,1,1,0,0,0,0,3820,0,1,15.4468,1,1,0,0,0,1,1,5,0,0,0
32,0,164.471,0,1,1,5162,0,0,22.6477,1,1,0,0,0,1,1,3,0,0,0,3917,0,1,24.0342,1,1,0,0,0,1,1,0,0,0,0
33,0,252.376,0,1,1,5163,0,0,30.5632,1,1,0,0,0,1,1,0,0,0,0,5722,0,1,28.2089,1,1,0,0,0,1,1,1,0,0,0
34,0,567.769,0,1,1,5460,0,0,17.1974,1,1,0,0,0,1,1,1,0,0,0,576,0,1,21.1199,1,1,0,0,0,1,1,3,0,0,0
35,0,3.32642,0,1,1,5531,0,0,43.1943,1,1,0,0,0,1,1,0,0,0,0,4919,0,1,27.9089,1,1,0,0,0,1,1,7,0,0,0
36,0,134.183,0,1,1,5619,0,0,24.3069,1,1,0,0,0,1,1,0,0,0,0,2379,0,1,18.9345,1,1,0,0,0,1,1,0,0,0,0
37,0,32.7507,0,1,1,5707,0,0,24.0509,1,1,0,0,0,1,1,0,0,0,0,4451,0,1,17.0465,1,1,0,0,0,1,1,0,0,0,0
38,0,311.405,0,1,1,5894,0,0,16.6935,1,1,0,0,0,1,1,7,0,0,0,1225,0,1,17.0367,1,1,0,0,0,1,1,5,0,0,0
39,0,927.475,0,1,1,5918,0,0,17.2082,1,1,0,0,0,1,1,1,0,0,0,7199,0,1,14.6275,1,1,0,0,0,1,1,2,0,0,0
40,0,296.487,0,1,1,6161,0,0,18.3317,1,1,0,0,0,1,1,4,0,0,0,5936,0,1,21.339,1,1,0,0,0,1,1,1,0,0,0
41,0,54.7613,0,1,1,6307,0,0,26.6342,1,1,0,0,0,1,1,1,0,0,0,3909,0,1,19.1245,1,1,0,0,0,1,1,0,0,0,0
42,0,50.4105,0,1,1,6812,0,0,33.2527,1,1,0,0,0,1,1,0,0,0,0,452,0,1,23.3759,1,1,0,0,0,1,1,0,0,0,0
43,0,684.209,0,1,1,7288,0,0,39.2282,1,1,0,0,0,1,1,0,0,0,0,6031,0,1,24.1893,1,1,0,0,0,1,1,4,0,0,0
44,0,217.781,0,1,1,7743,0,0,22.6479,1,1,0,0,0,1,1,0,0,0,0,5116,0,1,17.6152,1,1,0,0,0,1,1,0,0,0,0
45,0,361.942,0,1,1,8102,0,0,30.6646,1,1,0,0,0,1,1,5,0,0,0,2987,0,1,21.8428,1,1,0,0,0,1,1,1,0,0,0
46,0,373.83,0,1,1,8239,0,0,21.5182,1,1,0,0,0,1,1,0,0,0,0,1983,0,1,25.5262,1,1,0,0,0,1,1,0,0,0,0
47,0,58.2742,0,1,1,8500,0,0,25.1607,1,1,0,0,0,1,1,0,0,0,0,2168,0,1,20.7444,2,2,0,0,0,2,2,1,0,0,0
48,0,253.515,1,1,1,761,0,0,30.1356,1,0,1,0,0,1,1,2,0,0,0,425,0,1,29.5304,1,0,1,0,0,1,1,0,0,0,0
49,0,144.756,1,1,1,1542,0,0,32.8763,1,0,1,0,0,1,1,4,0,0,0,6131,0,1,25.5491,1,0,1,0,0,1,1,0,0,0,0
50,0,695.13,1,1,1,1811,0,0,18.3051,1,0,1,0,0,1,1,3,0,0,0,2731,0,1,18.7762,1,0,1,0,0,1,1,1,0,0,0
51,0,501.396,1,1,1,1964,0,0,25.2237,1,0,1,0,0,1,1,7,0,0,0,8688,0,1,26.9391,1,0,1,0,0,1,1,1,0,0,0
52,0,333.914,1,1,1,2006,0,0,44.1994,1,0,1,0,0,1,1,4,0,0,0,8464,0,1,39.1456,1,0,1,0,0,1,1,0,0,0,0
53,0,420.256,1,1,1,2021,0,0,34.8674,1,0,1,0,0,1,1,3,0,0,0,3157,0,1,32.5475,1,0,1,0,0,1,1,0,0,0,0
54,0,332.138,1,1,1,3428,0,0,22.172,1,0,1,0,0,1,1,0,0,0,0,7391,0,1,15.1152,1,0,1,0,0,1,1,3,0,0,0
55,0,584.775,1,1,1,4112,0,0,26.3596,1,0,1,0,0,1,1,0,0,0,0,3515,0,1,16.5376,1,0,1,0,0,1,1,0,0,0,0
56,0,946.064,1,1,1,4521,0,0,20.3386,1,0,1,0,0,1,1,3,0,0,0,2118,0,1,20.4705,1,0,1,0,0,1,1,0,0,0,0
57,0,819.98,1,1,1,4737,0,0,46.2378,1,0,1,0,0,1,1,0,0,0,0,917,0,1,36.5905,1,0,1,0,0,1,1,4,0,0,0
58,0,1777.68,1,1,1,4760,0,0,18.0764,1,0,1,0,0,1,1,2,0,0,0,8689,0,1,24.4655,1,0,1,0,0,1,1,1,0,0,0
59,0,399.618,1,1,1,4801,0,0,31.9059,1,0,1,0,0,1,1,0,0,0,0,3828,0,1,25.1336,1,0,1,0,0,1,1,0,0,0,0
60,0,522.406,1,1,1,5075,0,0,34.9924,1,0,1,0,0,1,1,1,0,0,0,7932,0,1,27.0703,1,0,1,0,0,1,1,0,0,0,0
61,0,912.061,1,1,1,5401,0,0,34.1342,1,0,1,0,0,1,1,0,0,0,0,543,0,1,18.5799,1,0,1,0,0,1,1,0,0,0,0
62,0,231.823,1,1,1,5897,0,0,28.2751,1,0,1,0,0,1,1,0,0,0,0,7454,0,1,20.7313,1,0,1,0,0,1,1,0,0,0,0
63,0,46.1205,1,1,1,5922,0,0,51.7456,1,0,1,0,0,1,1,0,0,0,0,4457,0,1,42.9755,1,0,1,0,0,1,1,0,0,0,0
64,0,444.327,1,1,1,6180,0,0,37.5351,1,0,1,0,0,1,1,0,0,0,0,6934,0,1,29.1208,1,0,1,0,0,1,1,3,0,0,0
65,0,448.201,1,1,1,6331,0,0,44.8013,1,0,1,0,0,1,1,0,0,0,0,1144,0,1,36.1326,1,0,1,0,0,1,1,3,0,0,0
66,0,527.418,1,1,1,6702,0,0,28.0502,1,0,1,0,0,1,1,1,0,0,0,5639,0,1,21.5437,1,0,1,0,0,1,1,2,0,0,0
67,0,578.06,1,1,1,7474,0,0,18.6542,1,0,1,0,0,1,1,2,0,0,0,5861,0,1,21.4092,1,0,1,0,0,1,1,7,0,0,0
68,0,538.197,1,1,1,7833,0,0,24.9898,1,0,1,0,0,1,1,0,0,0,0,2023,0,1,24.7096,1,0,1,0,0,1,1,2,0,0,0
69,0,737.83,1,1,1,8149,0,0,23.1349,1,0,1,0,0,1,1,2,0,0,0,2173,0,1,23.2504,1,0,1,0,0,1,1,0,0,0,0
70,7,280.614,0,1,1,7362,0,0,49.8395,1,1,0,0,0,1,1,2,0,0,0,4670,0,1,31.4913,1,1,0,0,0,1,1,1,0,0,0
71,7,479.916,0,1,1,8074,0,0,38.8512,1,1,0,0,0,1,1,3,0,0,0,6925,0,1,29.6901,1,1,0,0,0,1,1,0,0,0,0
72,7,40.1325,0,1,1,455,0,0,22.3492,1,1,0,0,0,1,1,2,0,0,0,4903,0,1,16.6104,1,1,0,0,0,1,1,3,0,0,0
73,7,141.436,0,1,1,676,0,0,16.2448,1,1,0,0,0,1,1,0,0,0,0,197,0,1,23.9903,1,1,0,0,0,1,1,0,0,0,0
74,7,77.4433,0,1,1,906,0,0,18.4953,1,1,0,0,0,1,1,4,0,0,0,656,0,1,21.3587,1,1,0,0,0,1,1,1,0,0,0
75,7,730.667,0,1,1,1020,0,0,33.3342,1,1,0,0,0,1,1,5,0,0,0,8487,0,1,21.2485,1,1,0,0,0,1,1,0,0,0,0
76,7,195.456,0,1,1,1068,0,0,29.3826,1,1,0,0,0,1,1,1,0,0,0,8138,0,1,26.0155,1,1,0,0,0,1,1,7,0,0,0
77,7,247.22,0,1,1,1319,0,0,16.2902,1,1,0,0,0,1,1,0,0,0,0,1758,0,1,15.6576,1,1,0,0,0,1,1,0,0,0,0
78,7,61.618,0,1,1,1933,0,0,31.5814,2,2,0,0,0,2,2,3,0,0,0,6130,0,1,26.3194,1,1,0,0,0,1,1,1,0,0,0
79,7,509.903,0,1,1,2024,0,0,25.6776,1,1,0,0,0,1,1,1,0,0,0,5893,0,1,24.8349,1,1,0,0,0,1,1,0,0,0,0
80,7,284.95,0,1,1,2149,0,0,20.0699,1,1,0,0,0,1,1,1,0,0,0,4260,0,1,17.5893,1,1,0,0,0,1,1,0,0,0,0
81,7,100.768,0,1,1,2149,0,0,20.0699,2,2,0,0,0,2,2,1,0,0,0,35,0,1,22.8938,1,1,0,0,0,1,1,1,0,0,0
82,7,800.606,0,1,1,2209,0,0,20.1992,1,1,0,0,0,1,1,0,0,0,0,914,0,1,23.9915,1,1,0,0,0,1,1,0,0,0,0
83,7,361.454,0,1,1,2490,0,0,17.261,1,1,0,0,0,1,1,1,0,0,0,7895,0,1,17.1429,1,1,0,0,0,1,1,3,0,0,0
84,7,691.274,0,1,1,2597,0,0,31.0399,1,1,0,0,0,1,1,4,0,0,0,6789,0,1,23.085,1,1,0,0,0,1,1,0,0,0,0
85,7,447.205,0,1,1,2828,0,0,26.0317,1,1,0,0,0,1,1,3,0,0,0,6586,0,1,16.364,1,1,0,0,0,1,1,0,0,0,0
86,7,466.155,0,1,1,3064,0,0,17.4932,1,1,0,0,0,1,1,0,0,0,0,1504,0,1,21.007,1,1,0,0,0,1,1,0,0,0,0
87,7,177.395,0,1,1,3247,0,0,20.5512,1,1,0,0,0,1,1,1,0,0,0,4093,0,1,23.9733,1,1,0,0,0,1,1,0,0,0,0
88,7,280.815,0,1,1,4024,0,0,25.656,1,1,0,0,0,1,1,1,0,0,0,1374,0,1,24.0777,1,1,0,0,0,1,1,0,0,0,0
89,7,23.1734,0,1,1,4351,0,0,22.0391,1,1,0,0,0,1,1,1,0,0,0,643,0,1,20.1104,1,1,0,0,0,1,1,0,0,0,0
90,7,129.85,0,1,1,4488,0,0,21.877,1,1,0,0,0,1,1,0,0,0,0,1754,0,1,15.5618,1,1,0,0,0,1,1,0,0,0,0
91,7,190.56,0,1,1,4564,0,0,18.7253,1,1,0,0,0,1,1,0,0,0,0,2206,0,1,18.6928,1,1,0,0,0,1,1,1,0,0,0
92,7,493.686,0,1,1,4897,0,0,22.4446,1,1,0,0,0,1,1,0,0,0,0,2988,0,1,17.4709,1,1,0,0,0,1,1,0,0,0,0
93,7,89.2292,0,1,1,4971,0,0,29.8164,1,1,0,0,0,1,1,0,0,0,0,2452,0,1,19.9023,1,1,0,0,0,1,1,0,0,0,0
94,7,660.788,0,1,1,5536,0,0,27.7358,1,1,0,0,0,1,1,1,0,0,0,1027,0,1,25.0741,1,1,0,0,0,1,1,2,0,0,0
95,7,570.974,0,1,1,6241,0,0,23.1635,1,1,0,0,0,1,1,1,0,0,0,6610,0,1,14.8884,1,1,0,0,0,1,1,1,0,0,0
96,7,164.17,0,1,1,6905,0,0,23.9671,1,1,0,0,0,1,1,0,0,0,0,1649,0,1,22.2312,1,1,0,0,0,1,1,0,0,0,0
97,7,48.2795,0,1,1,7025,0,0,29.6781,1,1,0,0,0,1,1,2,0,0,0,1286,0,1,27.5139,1,1,0,0,0,1,1,1,0,0,0
98,7,1311.39,0,1,1,7287,0,0,22.7723,1,1,0,0,0,1,1,5,0,0,0,5940,0,1,18.7941,1,1,0,0,0,1,1,3,0,0,0
99,7,7.65114,0,1,1,7504,0,0,24.6213,1,1,0,0,0,1,1,1,0,0,0,8099,0,1,22.1433,1,1,0,0,0,1,1,0,0,0,0
100,7,341.677,0,1,1,7679,0,0,14.986,1,1,0,0,0,1,1,4,0,0,0,7609,0,1,18.2583,1,1,0,0,0,1,1,0,0,0,0
101,7,309.121,0,1,1,7788,0,0,18.5859,1,1,0,0,0,1,1,1,0,0,0,7147,0,1,18.7857,1,1,0,0,0,1,1,0,0,0,0
102,7,52.4469,0,1,1,7867,0,0,28.0951,1,1,0,0,0,1,1,7,0,0,0,3368,0,1,27.0643,1,1,0,0,0,1,1,2,0,0,0
103,7,790.865,0,1,1,7872,0,0,21.858,1,1,0,0,0,1,1,1,0,0,0,1303,0,1,20.5475,1,1,0,0,0,1,1,1,0,0,0
104,7,76.5989,0,1,1,8220,0,0,17.3645,1,1,0,0,0,1,1,0,0,0,0,1657,0,1,22.2202,1,1,0,0,0,1,1,4,0,0,0
