Parameter,Type,Min,Max,Default,Description,Example
Coverage_By_Node,array of arrays,NA,NA,NA,"An array of (nodeID, coverage) pairs configuring the demographic coverage of interventions by node for the targeted populations. The coverage value must be a float between 0 and 1.",[link](../json/campaign-coveragebynodeeventcoordinator_Coverage_By_Node.json)
Demographic_Coverage,float,0,1,1,The fraction of individuals in the target demographic that will receive this intervention.,[link](../json/campaign-coveragebynodeeventcoordinator_Demographic_Coverage.json)
Intervention_Config,JSON object,NA,NA,NA,The nested JSON of the actual intervention to be distributed by this event coordinator.,[link](../json/campaign-coveragebynodeeventcoordinator_Intervention_Config.json)
Node_Property_Restrictions,array of JSON objects,NA,NA,NA,"A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See :ref:`demo-properties` parameters for more information.
You can specify AND and OR combinations of key:value pairs with this parameter.",[link](../json/campaign-coveragebynodeeventcoordinator_Node_Property_Restrictions.json)
Number_Repetitions,integer,-1,1000,1,"The number of times an intervention is given, used with **Timesteps_Between_Repetitions**.",[link](../json/campaign-coveragebynodeeventcoordinator_Number_Repetitions.json)
Property_Restrictions,array of JSON objects,NA,NA,NA,"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See :ref:`demo-properties` parameters for more information.
To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator.",[link](../json/campaign-coveragebynodeeventcoordinator_Property_Restrictions.json)
Property_Restrictions_Within_Node,array of JSON objects,NA,NA,NA,"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See :ref:`demo-properties` parameters for more information.
This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both. ",[link](../json/campaign-coveragebynodeeventcoordinator_Property_Restrictions_Within_Node.json)
Target_Age_Min,float,0,3.40282e+38,0,"The lower end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender.",[link](../json/campaign-coveragebynodeeventcoordinator_Target_Age_Min.json)
Target_Demographic,enum,NA,NA,Everyone,"The target demographic group. Possible values are:
* Everyone
* ExplicitAgeRanges
* ExplicitAgeRangesAndGender
* ExplicitGender
* ExplicitDiseaseState",[link](../json/campaign-coveragebynodeeventcoordinator_Target_Demographic.json)
Target_Gender,enum,NA,NA,All,"Specifies the gender restriction for the intervention. Possible values are:
* Male
* Female
* All",[link](../json/campaign-coveragebynodeeventcoordinator_Target_Gender.json)
Target_Residents_Only,boolean,0,1,0,"When set to true (1), the intervention is only distributed to individuals that began the simulation in the node (i.e. those that claim the node as their residence).",[link](../json/campaign-coveragebynodeeventcoordinator_Target_Residents_Only.json)
Timesteps_Between_Repetitions,integer,-1,10000,-1,The repetition interval.,[link](../json/campaign-coveragebynodeeventcoordinator_Timesteps_Between_Repetitions.json)
