Parameter,Example,Description,Type,Min,Max,Default
Disqualifying_Properties,[link](../json/campaign-migratefamily_Disqualifying_Properties.json),"A list of **NodeProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See  parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",array of strings,NA,NA,[]
Duration_At_Node_Constant,[link](../json/campaign-migratefamily_Duration_At_Node_Constant.json),"The duration at node, in days, to use for all families when **Duration_At_Node_Distribution** is set to CONSTANT_DISTRIBUTION.",float,0,3.40282E+38,-1
Duration_At_Node_Distribution,[link](../json/campaign-migratefamily_Duration_At_Node_Distribution.json),"The distribution type to use for assigning the duration of time an individual or family spends at a destination node after intervention-based migration. Each assigned value is a random draw from the distribution.<br>Possible values are:<br>NOT_INITIALIZED<br>    No distribution set. <br>CONSTANT_DISTRIBUTION<br>    Use the same value for each individual. Set **Duration_At_Node_Constant**.<br>UNIFORM_DISTRIBUTION<br>    Use a `uniform`_ distribution with a given minimum and maximum. Set **Duration_At_Node_Max** and **Duration_At_Node_Min**.<br>GAUSSIAN_DISTRIBUTION<br>    The distribution is `Gaussian`_ (or normal). Values are resampled to ensure >= 0. Set **Duration_At_Node_Gaussian_Mean** and **Duration_At_Node_Gaussian_Std_Dev**.<br>EXPONENTIAL_DISTRIBUTION<br>    The distribution is `exponential`_ with a given mean. Set **Duration_At_Node_Exponential**.<br>WEIBULL_DISTRIBUTION<br>    Use a `Weibull`_ distribution with a given shape and scale. Set **Duration_At_Node_Kappa** and **Duration_At_Node_Lambda**.<br>LOG_NORMAL_DISTRIBUTION<br>    Use a `log-normal`_ distribution with a given mean and standard deviation of the natural log. Set **Duration_At_Node_Log_Normal_Mu** and **Duration_At_Node_Log_Normal_Sigma**.<br>POISSON_DISTRIBUTION<br>    Use a `Poisson`_ distribution with a given mean. Set **Duration_At_Node_Poisson_Mean**. <br>DUAL_CONSTANT_DISTRIBUTION<br>    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Duration_At_Node_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.<br>DUAL_EXPONENTIAL_DISTRIBUTION<br>    Use two `exponential`_ distributions with given means. Set **Duration_At_Node_Mean_1**, **Duration_At_Node_Mean_2**, and **Duration_At_Node_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.<br>.. _Gaussian: https://en.wikipedia.org/wiki/Normal_distribution<br>.. _exponential: https://en.wikipedia.org/wiki/Exponential_distribution<br>.. _Weibull: https://en.wikipedia.org/wiki/Weibull_distribution<br>.. _log-normal: https://en.wikipedia.org/wiki/Log-normal_distribution<br>.. _uniform: https://en.wikipedia.org/wiki/Uniform_distribution_(continuous)<br>.. _Poisson: https://en.wikipedia.org/wiki/Poisson_distribution",enum,NA,NA,NOT_INITIALIZED
Duration_At_Node_Exponential,[link](../json/campaign-migratefamily_Duration_At_Node_Exponential.json),The mean of the duration at node after migration when **Duration_At_Node_Distribution** is set to EXPONENTIAL_DISTRIBUTION.,float,0,3.40282E+38,-1
Duration_At_Node_Gaussian_Mean,[link](../json/campaign-migratefamily_Duration_At_Node_Gaussian_Mean.json),"The mean of the duration at node after migration, in days, when **Duration_At_Node_Distribution** is set to GAUSSIAN_DISTRIBUTION.",float,0,3.40282E+38,-1
Duration_At_Node_Gaussian_Std_Dev,[link](../json/campaign-migratefamily_Duration_At_Node_Gaussian_Std_Dev.json),"The standard deviation of the duration at node after migration, in days, when **Duration_At_Node_Distribution** is set to GAUSSIAN_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Duration_At_Node_Kappa,[link](../json/campaign-migratefamily_Duration_At_Node_Kappa.json),"The shape value for the duration at node after migration, in days, when **Duration_At_Node_Distribution** is set to WEIBULL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Duration_At_Node_Lambda,[link](../json/campaign-migratefamily_Duration_At_Node_Lambda.json),"The scale value for the duration at node after migration, in days, when **Duration_At_Node_Distribution** is set to WEIBULL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Duration_At_Node_Log_Normal_Mu,[link](../json/campaign-migratefamily_Duration_At_Node_Log_Normal_Mu.json),"The mean of the natural log of the duration at node after migration, in days, when **Duration_At_Node_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",float,-3.40282e+38,1.70141e+38,3.40282E+38
Duration_At_Node_Log_Normal_Sigma,[link](../json/campaign-migratefamily_Duration_At_Node_Log_Normal_Sigma.json),"The standard deviation of the natural log of the duration at node after migration, in days, when **Duration_At_Node_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",float,-3.40282e+38,1.70141e+38,3.40282E+38
