Parameter,Type,Min,Max,Default,Description,Example
Base_Sensitivity,float,0,1,1,"The sensitivity of the diagnostic. This sets the proportion of the time that individuals with the condition being tested receive a positive diagnostic test. When set to zero, then individuals who have the condition always receive a false-negative diagnostic test.",[link](../json/campaign-simplediagnostic_Base_Sensitivity.json)
Base_Specificity,float,0,1,1,"The specificity of the diagnostic. This sets the proportion of the time that individuals without the condition being tested receive a negative diagnostic test. When set to 1, the diagnostic always accurately reflects the lack of having the condition. When set to zero, then individuals who do not have the condition always receive a false-positive diagnostic test.",[link](../json/campaign-simplediagnostic_Base_Specificity.json)
Cost_To_Consumer,float,0,3.40282e+38,1,"The unit 'cost' assigned to the diagnostic. Setting **Cost_To_Consumer** to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation.",[link](../json/campaign-simplediagnostic_Cost_To_Consumer.json)
Days_To_Diagnosis,float,0,3.40282e+38,0,The number of days from test until diagnosis.,[link](../json/campaign-simplediagnostic_Days_To_Diagnosis.json)
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-simplediagnostic_Disqualifying_Properties.json)
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",[link](../json/campaign-simplediagnostic_Dont_Allow_Duplicates.json)
Enable_IsSymptomatic,boolean,0,1,0,"If true (1), requires an infection to be symptomatic to return a positive test.",[link](../json/campaign-simplediagnostic_Enable_IsSymptomatic.json)
Intervention_Name,string,NA,NA,NA,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,[link](../json/campaign-simplediagnostic_Intervention_Name.json)
New_Property_Value,string,NA,NA,NA,"An optional **IndividualProperty** key:value pair that will be assigned when the intervention is distributed. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. ",[link](../json/campaign-simplediagnostic_New_Property_Value.json)
Positive_Diagnosis_Config,JSON object,NA,NA,NA,The intervention distributed to individuals if they test positive. Only used when **Event_Or_Config** is set to Config.,[link](../json/campaign-simplediagnostic_Positive_Diagnosis_Config.json)
Positive_Diagnosis_Event,enum,NA,NA,"""""","If the test is positive, this specifies an event that can trigger another intervention when the event occurs. Only used if **Event_Or_Config** is set to Event. See :doc:`parameter-campaign-event-list` for possible values.",[link](../json/campaign-simplediagnostic_Positive_Diagnosis_Event.json)
Treatment_Fraction,float,0,1,1,The fraction of positive diagnoses that are treated.,[link](../json/campaign-simplediagnostic_Treatment_Fraction.json)
