Parameter,Example,Description,Type,Min,Max,Default
Demographic_Coverage,[link](../json/campaign-standardinterventiondistributioneventcoordinator_Demographic_Coverage.json),The fraction of individuals in the target demographic that will receive this intervention.,float,0,1,1
Intervention_Config,[link](../json/campaign-standardinterventiondistributioneventcoordinator_Intervention_Config.json),The nested JSON of the actual intervention to be distributed by this event coordinator.,JSON object,NA,NA,NA
Node_Property_Restrictions,[link](../json/campaign-standardinterventiondistributioneventcoordinator_Node_Property_Restrictions.json),"A list of the **NodeProperty** key:value pairs, as defined in the demographics file, that nodes must have to be targeted by the intervention. See  parameters for more information.<br>You can specify AND and OR combinations of key:value pairs with this parameter.",array of JSON objects,NA,NA,NA
Number_Repetitions,[link](../json/campaign-standardinterventiondistributioneventcoordinator_Number_Repetitions.json),"The number of times an intervention is given, used with **Timesteps_Between_Repetitions**.",integer,-1,1000,1
Property_Restrictions,[link](../json/campaign-standardinterventiondistributioneventcoordinator_Property_Restrictions.json),"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See  parameters for more information.<br>To specify AND and OR combinations of key:value pairs, use **Property_Restrictions_Within_Node**. You cannot use both of these parameters in the same event coordinator.",array of JSON objects,NA,NA,NA
Property_Restrictions_Within_Node,[link](../json/campaign-standardinterventiondistributioneventcoordinator_Property_Restrictions_Within_Node.json),"A list of the **IndividualProperty** key:value pairs, as defined in the demographics file, that individuals must have to be targeted by this intervention. See  parameters for more information.<br>This parameter allows you to specify AND and OR combinations of key:value pairs. You may specify individual property restrictions using either this parameter or **Property_Restrictions**, but not both.",array of JSON objects,NA,NA,NA
Target_Age_Max,[link](../json/campaign-standardinterventiondistributioneventcoordinator_Target_Age_Max.json),"The upper end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender.",float,0,9.3228e+35,9.3228e+35
Target_Age_Min,[link](../json/campaign-standardinterventiondistributioneventcoordinator_Target_Age_Min.json),"The lower end of ages targeted for an intervention, in years. Used when **Target_Demographic** is set to ExplicitAgeRanges or ExplicitAgeRangesAndGender.",float,0,3.40282e+38,0
Target_Demographic,[link](../json/campaign-standardinterventiondistributioneventcoordinator_Target_Demographic.json),The target demographic group. Possible values are:<br>* Everyone<br>* ExplicitAgeRanges<br>* ExplicitAgeRangesAndGender<br>* ExplicitGender<br>* ExplicitDiseaseState,enum,NA,NA,Everyone
Target_Gender,[link](../json/campaign-standardinterventiondistributioneventcoordinator_Target_Gender.json),Specifies the gender restriction for the intervention. Possible values are:<br>* Male<br>* Female<br>* All,enum,NA,NA,All
Target_Residents_Only,[link](../json/campaign-standardinterventiondistributioneventcoordinator_Target_Residents_Only.json),"When set to true (1), the intervention is only distributed to individuals that began the simulation in the node (i.e. those that claim the node as their residence).",boolean,0,1,0
Timesteps_Between_Repetitions,[link](../json/campaign-standardinterventiondistributioneventcoordinator_Timesteps_Between_Repetitions.json),The repetition interval.,integer,-1,10000,-1
