Parameter,Example,Description,Type,Min,Max,Default
Base_Infectivity,[link](../json/config-infectivity-generic_Base_Infectivity.json),"The base infectiousness of individuals before accounting for transmission-blocking effects of acquired immunity and/or campaign interventions.<br>For generic simulations, this is the average number of individuals per time step who will be exposed to infection by one infectious individual. In the case of super-infection, the infectiousness is summed over all infections.",float,0,1000,0.3
Enable_Heterogeneous_Intranode_Transmission,[link](../json/config-infectivity-generic_Enable_Heterogeneous_Intranode_Transmission.json),"Controls whether or not individuals experience heterogeneous disease transmission within a node. When set to true (1), individual property definitions and the $\\beta$ matrix must be specified in the demographics file (see  parameters). The $\\beta$ values are multiplied with the $\\beta$ ~0~ value configured by **Base_Infectivity**.<br>This is used only in generic, environmental, and typhoid simulations, but must be set to false (0) for all other simulation types. Heterogeneous transmission for other diseases uses other mechanistic parameters included with the simulation type.",boolean,0,1,0
Enable_Infectivity_Reservoir,[link](../json/config-infectivity-generic_Enable_Infectivity_Reservoir.json),"Controls whether or not an exogeneous reservoir of infectivity will be included in the simulation and allows for the infectivity in a node to be increased additively. When set to 1 (true), the demographics parameter **InfectivityReservoirSize** is expected in **NodeAtttributes** for each node.<br>.. warning::<br>    Do not set both **Enable_Infectivity_Reservoir** and  **Enable_Strain_Tracking** to true (1) - as this combination will cause an exception error.",boolean,0,1,0
Enable_Initial_Prevalence,[link](../json/config-infectivity-generic_Enable_Initial_Prevalence.json),"Controls whether or not parameters in the demographics file are used to define a distribution for the number of infected people per node at the beginning of the simulation. Set the distribution under  using **PrevalenceDistributionFlag**, **PrevalenceDistribution1**, and **PrevalenceDistribution2**.",boolean,0,1,0
Enable_Maternal_Infection_Transmission,[link](../json/config-infectivity-generic_Enable_Maternal_Infection_Transmission.json),Controls whether or not infectious mothers infect infants at birth. **Enable_Birth** must be set to 1 (true).<br>.. warning::<br>    Do not set both **Enable_Maternal_Infection_Transmission** and  **Enable_Strain_Tracking** to true (1) - as this combination will cause an exception error.,boolean,0,1,0
Enable_Skipping,[link](../json/config-infectivity-generic_Enable_Skipping.json),"Controls whether or not the simulation uses an optimization that can increase performance by up to 50% in some cases by probabilistically exposing individuals rather than exposing every single person. Useful in low-prevalence, high-population scenarios.",boolean,0,1,0
Enable_Termination_On_Zero_Total_Infectivity,[link](../json/config-infectivity-generic_Enable_Termination_On_Zero_Total_Infectivity.json),Controls whether or not the simulation should be ended when total infectivity falls to zero. Supported only in single-node simulations.,boolean,0,1,0
Infection_Updates_Per_Timestep,[link](../json/config-infectivity-generic_Infection_Updates_Per_Timestep.json),The number of infection updates executed during each timestep; note that a timestep defaults to one day.,integer,0,144,1
Infectious_Period_Constant,[link](../json/config-infectivity-generic_Infectious_Period_Constant.json),"The infectious period to use for all individuals, in days, when **Infectious_Period_Distribution** is set to CONSTANT_DISTRIBUTION.",float,0,3.40282E+38,-1
Infectious_Period_Distribution,[link](../json/config-infectivity-generic_Infectious_Period_Distribution.json),"The distribution type to use for assigning the infectious period to each individual in the population. Each individual's value is a random draw from the distribution.<br>Possible values are:<br>NOT_INITIALIZED<br>    No distribution set. <br>CONSTANT_DISTRIBUTION<br>    Use the same value for each individual. Set **Infectious_Period_Constant**.<br>UNIFORM_DISTRIBUTION<br>    Use a `uniform`_ distribution with a given minimum and maximum. Set **Infectious_Period_Max** and **Infectious_Period_Min**.<br>GAUSSIAN_DISTRIBUTION<br>    The distribution is `Gaussian`_ (or normal). Values are resampled to ensure >= 0. Set **Infectious_Period_Gaussian_Mean** and **Infectious_Period_Gaussian_Std_Dev**.<br>EXPONENTIAL_DISTRIBUTION<br>    The distribution is `exponential`_ with a given mean. Set **Infectious_Period_Exponential**.<br>WEIBULL_DISTRIBUTION<br>    Use a `Weibull`_ distribution with a given shape and scale. Set **Infectious_Period_Kappa** and **Infectious_Period_Lambda**.<br>LOG_NORMAL_DISTRIBUTION<br>    Use a `log-normal`_ distribution with a given mean and standard deviation of the natural log. Set **Infectious_Period_Log_Normal_Mu** and **Infectious_Period_Log_Normal_Sigma**.<br>POISSON_DISTRIBUTION<br>    Use a `Poisson`_ distribution with a given mean. Set **Infectious_Period_Poisson_Mean**. <br>DUAL_CONSTANT_DISTRIBUTION<br>    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Infectious_Period_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.<br>DUAL_EXPONENTIAL_DISTRIBUTION<br>    Use two `exponential`_ distributions with given means. Set **Infectious_Period_Mean_1**, **Infectious_Period_Mean_2**, and **Infectious_Period_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.<br>.. _Gaussian: https://en.wikipedia.org/wiki/Normal_distribution<br>.. _exponential: https://en.wikipedia.org/wiki/Exponential_distribution<br>.. _Weibull: https://en.wikipedia.org/wiki/Weibull_distribution<br>.. _log-normal: https://en.wikipedia.org/wiki/Log-normal_distribution<br>.. _uniform: https://en.wikipedia.org/wiki/Uniform_distribution_(continuous)<br>.. _Poisson: https://en.wikipedia.org/wiki/Poisson_distribution",enum,NA,NA,NOT_INITIALIZED
Infectious_Period_Exponential,[link](../json/config-infectivity-generic_Infectious_Period_Exponential.json),"The mean infectious period, in days, when **Infectious_Period_Distribution** is set to EXPONENTIAL_DISTRIBUTION.",float,0,3.40282E+38,-1
Infectious_Period_Gaussian_Mean,[link](../json/config-infectivity-generic_Infectious_Period_Gaussian_Mean.json),"The mean infectious period, in days, when **Infectious_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.",float,0,3.40282E+38,-1
Infectious_Period_Gaussian_Std_Dev,[link](../json/config-infectivity-generic_Infectious_Period_Gaussian_Std_Dev.json),"The standard deviation of the infectious period, in days, when **Infectious_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Infectious_Period_Kappa,[link](../json/config-infectivity-generic_Infectious_Period_Kappa.json),"The shape value for the infectious period, in days, when **Infectious_Period_Distribution** is set to WEIBULL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Infectious_Period_Lambda,[link](../json/config-infectivity-generic_Infectious_Period_Lambda.json),"The scale value for the infectious period, in days, when **Infectious_Period_Distribution** is set to WEIBULL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Infectious_Period_Log_Normal_Mu,[link](../json/config-infectivity-generic_Infectious_Period_Log_Normal_Mu.json),"The mean of the natural log of the infectious period, in days, when **Infectious_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",float,-3.40282e+38,1.70141e+38,3.40282e+38
Infectious_Period_Log_Normal_Sigma,[link](../json/config-infectivity-generic_Infectious_Period_Log_Normal_Sigma.json),"The standard deviation of the natural log of the infectious period, in days, when **Infectious_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",float,-3.40282e+38,1.70141e+38,3.40282e+38
Infectious_Period_Max,[link](../json/config-infectivity-generic_Infectious_Period_Max.json),"The maximum infectious period, in days, when **Infectious_Period_Distribution** is set to UNIFORM_DISTRIBUTION.",float,0,3.40282E+38,-1
Infectious_Period_Mean_1,[link](../json/config-infectivity-generic_Infectious_Period_Mean_1.json),"The mean of the first exponential distribution, in days, when **Infectious_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",float,1.17549E-38,3.4E+38,-1
Infectious_Period_Mean_2,[link](../json/config-infectivity-generic_Infectious_Period_Mean_2.json),"The mean of the second exponential distribution, in days, when **Infectious_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Infectious_Period_Min,[link](../json/config-infectivity-generic_Infectious_Period_Min.json),"The minimum infectious period, in days, when **Infectious_Period_Distribution** is set to UNIFORM_DISTRIBUTION.",float,0,3.40282E+38,-1
Infectious_Period_Peak_2_Value,[link](../json/config-infectivity-generic_Infectious_Period_Peak_2_Value.json),"The infectious period value, in days, to assign to the remaining individuals when **Infectious_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.",float,0,3.40282E+38,-1
Infectious_Period_Poisson_Mean,[link](../json/config-infectivity-generic_Infectious_Period_Poisson_Mean.json),"The mean of the infectious period, in days, when **Infectious_Period_Distribution** is set to POISSON_DISTRIBUTION.",float,0,3.40282E+38,-1
Infectious_Period_Proportion_0,[link](../json/config-infectivity-generic_Infectious_Period_Proportion_0.json),The proportion of individuals to assign a value of zero days infectiousness when **Infectious_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.,float,0,1,-1
Infectious_Period_Proportion_1,[link](../json/config-infectivity-generic_Infectious_Period_Proportion_1.json),The proportion of individuals in the first exponential distribution when **Infectious_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.,float,0,1,-1
Infectivity_Exponential_Baseline,[link](../json/config-infectivity-generic_Infectivity_Exponential_Baseline.json),"The scale factor applied to **Base_Infectivity** at the beginning of a simulation, before the infectivity begins to grow exponentially. **Infectivity_Scale_Type** must be set to EXPONENTIAL_FUNCTION_OF_TIME.",float,0,1,0
Infectivity_Exponential_Delay,[link](../json/config-infectivity-generic_Infectivity_Exponential_Delay.json),"The number of days before infectivity begins to ramp up exponentially. When **Enable_Infectivity_Scaling_Exponential**  configuration parameter is enabled, **Infectivity_Exponential_Delay** is an expected parameter.",float,0,3.40E+38,0
Infectivity_Exponential_Rate,[link](../json/config-infectivity-generic_Infectivity_Exponential_Rate.json),"The daily rate of exponential growth to approach to full infectivity after the delay set by **Infectivity_Exponential_Delay** has passed. When **Enable_Infectivity_Scaling_Exponential**  configuration parameter is enabled, **Infectivity_Exponential_Rate** is an expected parameter.",float,0,3.40E+38,0
