Parameter,Example,Description,Type,Min,Max,Default
Config_Name,[link](../json/config-setup-generic_Config_Name.json),"The optional, user-supplied title naming a configuration file.",string,NA,NA,UNINITIALIZED STRING
Custom_Coordinator_Events,[link](../json/config-setup-generic_Custom_Coordinator_Events.json),"The list of valid, user-defined events for Event Coordinators that will be included in the campaign. Any event used in the campaign must either be one of the built-in events or in this list.<br>Note: This configuration parameter is currently in beta release and has not yet been fully tested.",array of strings,NA,NA,NA
Custom_Individual_Events,[link](../json/config-setup-generic_Custom_Individual_Events.json),"The list of valid, user-defined events that will be included in the campaign. Any event used in the campaign must either be one of the built-in events or in this list.<br>.. note:: <br>    This configuration parameter is currently in beta release and has not yet been fully tested.",array of strings,NA,NA,NA
Custom_Node_Events,[link](../json/config-setup-generic_Custom_Node_Events.json),"The list of valid, user-defined events for nodes that will be included in the campaign. Any event used in the campaign must either be one of the built-in events or in this list.<br>.. note:: <br>    This configuration parameter is currently in beta release and has not yet been fully tested.",array of strings,NA,NA,NA
Enable_Interventions,[link](../json/config-setup-generic_Enable_Interventions.json),Controls whether or not campaign interventions will be used in the simulation. Set **Campaign_Filename** to the path of the file that contains the campaign interventions.,boolean,0,1,0
Enable_Random_Generator_From_Serialized_Population,[link](../json/config-setup-generic_Enable_Random_Generator_From_Serialized_Population.json),Determines if the random number generator(s) should be extracted from a serialized population file. Enabling this will start a simulation from this file with the exact same random number stream and location in that stream as when the file was serialized.,boolean,0,1,0
Enable_Skipping,[link](../json/config-setup-generic_Enable_Skipping.json),"Controls whether or not the simulation uses an optimization that can increase performance by up to 50% in some cases by probabilistically exposing individuals rather than exposing every single person. Useful in low-prevalence, high-population scenarios.",boolean,0,1,0
Enable_Termination_On_Zero_Total_Infectivity,[link](../json/config-setup-generic_Enable_Termination_On_Zero_Total_Infectivity.json),Controls whether or not the simulation should be ended when total infectivity falls to zero. Supported only in single-node simulations.,boolean,0,1,0
Listed_Events,[link](../json/config-setup-generic_Listed_Events.json),"The list of valid, user-defined events that will be included in the campaign. Any event used in the campaign must either be one of the built-in events or in this list.",array of strings,NA,NA,[]
Memory_Usage_Halting_Threshold_Working_Set_MB,[link](../json/config-setup-generic_Memory_Usage_Halting_Threshold_Working_Set_MB.json),The maximum size (in MB) of working set memory before the system throws an exception and halts.,integer,0,1.00E+06,8000
Memory_Usage_Warning_Threshold_Working_Set_MB,[link](../json/config-setup-generic_Memory_Usage_Warning_Threshold_Working_Set_MB.json),The maximum size (in MB) of working set memory before memory usage statistics are written to the log regardless of log level.,integer,0,1.00E+06,7000
Node_Grid_Size,[link](../json/config-setup-generic_Node_Grid_Size.json),The spatial resolution indicating the node grid size for a simulation in degrees.,float,0.00416,90,0.004167
Random_Number_Generator_Policy,[link](../json/config-setup-generic_Random_Number_Generator_Policy.json),"The policy that determines if random numbers are generated for objects in a simulation on a per-core or per-node basis.  The following values are available:<br>ONE_PER_CORE<br>    A random number generator (RNG) is created for each computing core running a simulation. When running a simulation on a single core, there will be only one RNG. If running the single simulation on multiple cores, each core will have its own RNG. The RNGs on the different cores start out such that they will not generate the same stream of random numbers. Prior to EMOD 2.19, all simulations used this policy. <br>ONE_PER_NODE<br>   An RNG is created for each geographic node in the simulation. The advantages of this policy are that 1) an event that causes a random number to be drawn in one node does not cause things to change in another node and 2) changing a simulation from single core to multi-core will not change the results. The RNGs on the different nodesstart out such that they will not generate the same stream of random numbers.",enum,NA,NA,ONE_PER_CORE
